"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"1" ,0.362,0.378,0.391,20.86,22.84,3.25,56.76,2.12,0.029,0.029,-1.71,-34.97,0.356,0.357,0.393,0.394,-1.71,-34.97,0.43,1.09,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"2" ,0.408,0.426,0.479,12.26,27.88,3.97,33.37,2.58,0.071,0.036,0.03,1.76,0.393,0.394,0.466,0.485,0.03,0.09,3.36,12.31,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"3" ,0.479,0.509,0.564,11.18,27.77,3.95,30.43,2.57,0.085,0.036,1.76,0.33,0.466,0.485,0.561,0.568,0.09,0.17,1.14,11.30,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"4" ,0.572,0.591,0.644,36.75,39.08,5.56,100.00,3.62,0.072,0.015,1.61,0.44,0.561,0.568,0.654,0.656,0.18,0.25,1.76,36.94,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"5" ,1.118,1.168,1.274,18.73,55.38,7.88,50.97,5.13,0.156,0.045,-0.14,-0.01,1.108,1.117,1.289,1.292,-0.14,-0.01,1.61,18.63,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"6" ,3.092,3.199,3.371,17.83,106.69,15.18,48.52,9.89,0.279,0.093,-0.68,-0.73,3.065,3.069,3.371,3.372,-0.68,-0.75,1.24,17.13,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"7" ,3.376,3.494,3.605,18.04,96.15,13.68,49.08,8.92,0.228,0.084,-0.71,-0.82,3.371,3.372,3.627,3.629,-0.76,-0.82,1.02,17.25,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\04_A3.d" ,"8" ,6.645,6.868,7.999,28.21,702.72,100.00,76.76,65.16,1.354,0.407,-1.86,-0.25,6.641,6.646,7.999,8.000,-1.86,-0.25,3.89,26.61,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\05_A4.d"," DAD1 - B:Sig=260,4  Ref=360,60 05_A4.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\05_A4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\05_A4.d" ,"1" ,0.362,0.378,0.391,19.28,20.55,2.92,46.62,1.85,0.029,0.030,-1.07,-28.04,0.355,0.356,0.394,0.394,-1.07,-28.04,0.40,3.57,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\05_A4.d" ,"2" ,0.408,0.426,0.483,10.53,24.13,3.43,25.46,2.18,0.075,0.035,0.10,1.57,0.394,0.394,0.465,0.489,0.10,0.13,3.71,10.64,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\05_A4.d" ,"3" ,0.483,0.512,0.566,9.66,23.28,3.31,23.37,2.10,0.083,0.034,1.57,0.84,0.465,0.489,0.559,0.571,0.13,0.17,1.05,9.81,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\05_A4.d" ,"4" ,0.572,0.591,0.641,41.35,43.18,6.13,100.00,3.89,0.069,0.015,1.52,0.54,0.559,0.571,0.652,0.654,0.17,0.20,1.77,41.53,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\05_A4.d" ,"5" ,1.112,1.163,1.266,21.50,62.65,8.90,52.00,5.65,0.153,0.044,-0.09,0.09,1.107,1.111,1.285,1.291,-0.09,0.07,1.63,21.47,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\05_A4.d" ,"6" ,3.076,3.191,3.353,20.23,121.27,17.22,48.92,10.94,0.277,0.093,-0.70,-0.61,3.055,3.062,3.352,3.354,-0.70,-0.61,1.24,19.57,,,  ,,,,,,,,,,,,
