"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\19_B5.d" ,"6" ,3.084,3.207,3.374,28.43,170.36,22.69,49.85,13.04,0.290,0.093,-0.80,-0.54,3.079,3.081,3.373,3.375,-0.83,-0.54,1.22,27.72,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\19_B5.d" ,"7" ,3.380,3.496,3.612,28.55,153.13,20.40,50.06,11.72,0.233,0.085,-0.52,-0.59,3.379,3.381,3.622,3.624,-0.52,-0.59,1.06,28.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\19_B5.d" ,"8" ,3.628,3.689,3.753,2.32,9.07,1.21,4.07,0.69,0.125,0.061,-0.78,-0.99,3.627,3.631,3.750,3.754,-0.99,-1.22,0.87,1.22,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\19_B5.d" ,"9" ,3.753,3.812,3.889,4.49,15.77,2.10,7.87,1.21,0.136,0.055,-0.99,-1.48,3.750,3.754,3.921,3.923,-1.22,-1.48,0.95,3.15,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\19_B5.d" ,"10" ,6.644,6.866,8.000,29.18,750.78,100.00,51.16,57.45,1.356,0.412,-1.97,-0.23,6.642,6.645,7.999,8.000,-3.06,-0.23,6.48,26.59,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\20_B6.d"," DAD1 - B:Sig=260,4  Ref=360,60 20_B6.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\20_B6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\20_B6.d" ,"1" ,0.363,0.379,0.392,16.56,17.80,2.37,27.48,1.33,0.029,0.030,-1.35,-24.32,0.356,0.357,0.394,0.395,-1.35,-24.32,0.41,3.07,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\20_B6.d" ,"2" ,0.408,0.425,0.483,9.86,22.83,3.04,16.37,1.71,0.075,0.035,-0.08,1.47,0.394,0.395,0.463,0.489,-0.08,-0.06,3.85,9.79,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\20_B6.d" ,"3" ,0.483,0.512,0.567,9.31,23.85,3.17,15.44,1.79,0.084,0.038,1.47,0.80,0.463,0.489,0.560,0.572,-0.06,-0.04,1.06,9.26,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\20_B6.d" ,"4" ,0.575,0.593,0.644,60.26,63.97,8.51,100.00,4.79,0.069,0.015,1.62,0.72,0.560,0.572,0.654,0.657,-0.03,-0.02,1.86,60.23,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\20_B6.d" ,"5" ,0.681,0.719,0.767,4.14,8.40,1.12,6.88,0.63,0.086,0.029,0.35,0.23,0.654,0.657,0.753,0.780,-0.07,-0.06,1.57,4.08,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\20_B6.d" ,"6" ,1.124,1.174,1.274,31.61,91.55,12.17,52.46,6.86,0.150,0.044,-0.17,0.13,1.114,1.116,1.291,1.294,-0.17,0.10,1.63,31.53,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\20_B6.d" ,"7" ,3.097,3.219,3.384,29.96,178.94,23.79,49.72,13.40,0.287,0.093,-0.83,-0.57,3.068,3.077,3.382,3.387,-0.87,-0.57,1.24,29.22,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\20_B6.d" ,"8" ,3.393,3.506,3.633,30.67,162.30,21.58,50.89,12.16,0.240,0.083,-0.56,-0.76,3.382,3.387,3.634,3.639,-0.57,-0.76,1.08,30.01,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\20_B6.d" ,"9" ,3.761,3.818,3.903,3.95,13.32,1.77,6.55,1.00,0.142,0.053,-1.04,-1.58,3.757,3.761,3.904,3.911,-1.04,-1.58,1.00,2.69,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\20_B6.d" ,"10" ,6.643,6.867,7.999,29.22,752.16,100.00,48.49,56.34,1.356,0.412,-2.04,-0.27,6.641,6.644,7.999,8.000,-3.12,-0.27,6.43,26.58,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\22_B7.d"," DAD1 - B:Sig=260,4  Ref=360,60 22_B7.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\22_B7.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\22_B7.d" ,"1" ,0.363,0.378,0.392,22.55,25.19,3.56,59.99,2.17,0.029,0.030,-1.39,-36.16,0.356,0.357,0.394,0.394,-1.39,-36.16,0.43,2.78,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\22_B7.d" ,"2" ,0.408,0.426,0.480,12.40,29.36,4.15,32.99,2.53,0.072,0.037,-0.27,2.05,0.394,0.394,0.464,0.486,-0.27,-0.27,3.36,12.13,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\22_B7.d" ,"3" ,0.480,0.511,0.565,12.33,34.78,4.92,32.80,2.99,0.085,0.043,2.05,1.42,0.464,0.486,0.559,0.573,-0.27,-0.27,1.29,12.06,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\22_B7.d" ,"4" ,0.588,0.603,0.665,37.58,46.25,6.54,100.00,3.98,0.077,0.017,2.69,-0.14,0.559,0.573,0.664,0.666,-0.17,-0.14,2.03,37.42,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\22_B7.d" ,"5" ,1.166,1.222,1.341,21.40,65.98,9.33,56.95,5.68,0.175,0.047,-0.29,-0.22,1.146,1.152,1.340,1.347,-0.31,-0.22,1.56,21.12,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\22_B7.d" ,"6" ,3.181,3.304,3.468,21.34,127.73,18.07,56.80,11.00,0.286,0.093,-0.95,-0.92,3.159,3.162,3.467,3.473,-0.96,-0.92,1.20,20.40,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\22_B7.d" ,"7" ,3.479,3.576,3.684,24.84,114.11,16.14,66.10,9.82,0.205,0.072,-0.87,-0.95,3.467,3.473,3.687,3.691,-0.87,-0.95,1.08,23.93,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\22_B7.d" ,"8" ,3.801,3.854,3.928,3.51,11.27,1.59,9.33,0.97,0.128,0.051,-1.18,-1.62,3.800,3.805,3.949,3.953,-1.26,-1.62,1.02,2.10,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\22_B7.d" ,"9" ,6.641,6.867,7.999,28.27,706.97,100.00,75.23,60.86,1.358,0.408,-2.02,-0.27,6.637,6.642,7.999,8.000,-2.02,-0.27,4.10,26.54,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\23_B8.d"," DAD1 - B:Sig=260,4  Ref=360,60 23_B8.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\23_B8.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\23_B8.d" ,"1" ,0.362,0.377,0.391,20.38,22.39,3.16,41.38,1.86,0.029,0.030,-1.23,-32.53,0.355,0.356,0.393,0.394,-1.23,-32.53,0.43,2.82,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\23_B8.d" ,"2" ,0.408,0.426,0.481,11.13,25.20,3.55,22.59,2.10,0.073,0.035,-0.05,1.42,0.393,0.394,0.467,0.486,-0.05,0.01,3.45,11.09,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\23_B8.d" ,"3" ,0.481,0.512,0.566,11.10,30.02,4.23,22.53,2.50,0.085,0.042,1.42,1.28,0.467,0.486,0.559,0.571,0.01,0.09,1.29,11.14,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\23_B8.d" ,"4" ,0.574,0.593,0.646,49.25,52.92,7.46,100.00,4.40,0.072,0.015,2.44,0.44,0.559,0.571,0.654,0.658,0.10,0.17,1.82,49.37,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\23_B8.d" ,"5" ,1.125,1.178,1.301,25.45,75.87,10.69,51.67,6.31,0.176,0.045,-0.23,-0.12,1.123,1.126,1.301,1.304,-0.23,-0.12,1.61,25.25,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\23_B8.d" ,"6" ,3.106,3.226,3.378,24.49,146.16,20.60,49.73,12.16,0.273,0.093,-0.87,-0.63,3.080,3.086,3.377,3.379,-0.87,-0.69,1.24,23.70,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\23_B8.d" ,"7" ,3.401,3.515,3.629,25.18,131.58,18.55,51.13,10.95,0.229,0.082,-0.67,-0.82,3.394,3.400,3.639,3.650,-0.68,-0.82,1.05,24.43,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\23_B8.d" ,"8" ,3.770,3.821,3.898,2.56,8.48,1.19,5.20,0.71,0.127,0.053,-1.20,-1.61,3.762,3.766,3.920,3.922,-1.20,-1.61,0.99,1.20,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\23_B8.d" ,"9" ,6.642,6.864,8.000,28.29,709.47,100.00,57.44,59.02,1.357,0.408,-2.07,-0.32,6.641,6.643,7.999,8.000,-2.07,-0.32,4.27,26.50,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\24_B9.d"," DAD1 - B:Sig=260,4  Ref=360,60 24_B9.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\24_B9.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\24_B9.d" ,"1" ,0.362,0.378,0.391,23.74,25.48,3.60,53.73,2.12,0.029,0.030,-1.13,-36.94,0.355,0.356,0.393,0.394,-1.13,-36.94,0.40,3.41,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\24_B9.d" ,"2" ,0.407,0.426,0.479,12.50,29.66,4.19,28.29,2.47,0.072,0.037,-0.06,2.19,0.393,0.394,0.463,0.485,-0.06,-0.08,3.30,12.44,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\24_B9.d" ,"3" ,0.479,0.511,0.566,12.52,35.19,4.97,28.34,2.93,0.086,0.043,2.19,1.18,0.463,0.485,0.561,0.570,-0.08,-0.10,1.25,12.44,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\24_B9.d" ,"4" ,0.571,0.590,0.643,44.17,48.37,6.83,100.00,4.02,0.072,0.015,1.87,0.50,0.561,0.570,0.651,0.653,-0.10,-0.11,1.77,44.07,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\24_B9.d" ,"5" ,0.669,0.709,0.759,6.31,13.28,1.88,14.27,1.10,0.090,0.030,0.37,0.47,0.651,0.653,0.744,0.771,-0.12,-0.14,1.77,6.18,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\24_B9.d" ,"6" ,1.109,1.160,1.262,22.25,65.28,9.22,50.38,5.43,0.153,0.045,-0.08,0.12,1.106,1.109,1.298,1.302,-0.08,0.09,1.62,22.23,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\24_B9.d" ,"7" ,3.068,3.190,3.355,21.19,127.15,17.95,47.96,10.58,0.287,0.093,-0.75,-0.56,3.054,3.059,3.354,3.358,-0.78,-0.56,1.23,20.50,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\24_B9.d" ,"8" ,3.369,3.487,3.614,20.35,113.98,16.09,46.07,9.48,0.245,0.088,-0.51,-0.82,3.354,3.358,3.614,3.623,-0.51,-0.82,1.01,19.69,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\24_B9.d" ,"9" ,3.619,3.689,3.748,2.80,9.93,1.40,6.33,0.83,0.129,0.058,-0.83,-0.81,3.614,3.623,3.744,3.751,-0.83,-0.81,0.97,1.98,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\24_B9.d" ,"10" ,3.750,3.807,3.863,5.49,17.99,2.54,12.43,1.50,0.113,0.053,-0.81,-0.79,3.744,3.751,3.901,3.906,-0.81,-0.79,1.13,4.69,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\24_B9.d" ,"11" ,4.418,4.471,4.531,2.98,7.57,1.07,6.75,0.63,0.113,0.040,-2.07,-2.07,4.416,4.424,4.542,4.546,-2.07,-2.07,1.21,0.91,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\24_B9.d" ,"12" ,6.641,6.869,7.999,28.27,708.18,100.00,63.99,58.91,1.359,0.408,-1.94,-0.19,6.634,6.641,7.999,8.000,-1.94,-0.19,4.05,26.62,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\25_B10.d"," DAD1 - B:Sig=260,4  Ref=360,60 25_B10.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\25_B10.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\25_B10.d" ,"1" ,0.364,0.379,0.392,16.12,16.72,2.37,32.86,1.36,0.028,0.030,-1.13,-22.60,0.355,0.357,0.394,0.394,-1.13,-22.60,0.40,3.63,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\25_B10.d" ,"2" ,0.407,0.424,0.484,9.63,22.18,3.15,19.64,1.80,0.077,0.035,0.11,1.54,0.394,0.394,0.462,0.490,0.11,0.18,4.02,9.76,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\25_B10.d" ,"3" ,0.484,0.513,0.566,8.93,21.89,3.10,18.20,1.78,0.082,0.036,1.54,0.54,0.462,0.490,0.561,0.570,0.18,0.26,0.94,9.14,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\25_B10.d" ,"4" ,0.574,0.592,0.642,49.06,51.12,7.25,100.00,4.15,0.069,0.015,1.47,0.61,0.561,0.570,0.654,0.656,0.26,0.33,1.82,49.34,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\25_B10.d" ,"5" ,0.692,0.717,0.759,6.87,12.10,1.72,14.01,0.98,0.067,0.028,0.43,0.51,0.654,0.656,0.756,0.781,0.38,0.44,1.61,7.27,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\25_B10.d" ,"6" ,1.118,1.171,1.289,25.90,75.86,10.76,52.80,6.15,0.171,0.044,-0.21,-0.06,1.116,1.119,1.289,1.291,-0.21,-0.06,1.60,25.73,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\25_B10.d" ,"7" ,3.093,3.213,3.362,24.32,145.69,20.66,49.56,11.82,0.270,0.094,-0.83,-0.53,3.080,3.084,3.381,3.387,-0.83,-0.53,1.24,23.62,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\25_B10.d" ,"8" ,3.392,3.502,3.625,25.08,132.77,18.83,51.11,10.77,0.233,0.083,-0.63,-0.83,3.391,3.393,3.624,3.626,-0.65,-0.83,1.06,24.34,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\25_B10.d" ,"9" ,3.634,3.696,3.756,3.74,13.63,1.93,7.62,1.11,0.122,0.059,-0.79,-0.77,3.629,3.631,3.755,3.757,-0.79,-1.11,0.98,2.78,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\25_B10.d" ,"10" ,3.756,3.814,3.900,7.47,26.14,3.71,15.22,2.12,0.144,0.055,-0.77,-1.49,3.755,3.757,3.905,3.906,-1.11,-1.49,1.08,6.20,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\25_B10.d" ,"11" ,4.424,4.471,4.534,3.72,9.51,1.35,7.58,0.77,0.110,0.039,-2.16,-2.15,4.418,4.424,4.533,4.536,-2.16,-2.20,1.27,1.54,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\25_B10.d" ,"12" ,6.651,6.869,7.999,28.20,705.01,100.00,57.48,57.20,1.348,0.408,-1.93,-0.28,6.637,6.641,7.998,8.000,-1.93,-0.28,3.93,26.54,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\26_B11.d"," DAD1 - B:Sig=260,4  Ref=360,60 26_B11.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\26_B11.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\26_B11.d" ,"1" ,0.363,0.378,0.391,20.32,21.59,3.05,37.38,1.68,0.029,0.030,-1.26,-30.70,0.356,0.357,0.394,0.394,-1.26,-30.70,0.41,3.27,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\26_B11.d" ,"2" ,0.407,0.425,0.481,11.05,25.79,3.64,20.32,2.01,0.074,0.036,-0.01,1.81,0.394,0.394,0.463,0.487,-0.01,0.00,3.58,11.04,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\26_B11.d" ,"3" ,0.481,0.511,0.566,10.72,27.82,3.93,19.71,2.17,0.085,0.038,1.81,0.85,0.463,0.487,0.561,0.570,0.00,0.02,1.07,10.72,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\26_B11.d" ,"4" ,0.573,0.591,0.644,54.37,57.74,8.15,100.00,4.50,0.071,0.015,1.80,0.51,0.561,0.570,0.649,0.661,0.02,0.03,1.89,54.39,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\26_B11.d" ,"5" ,0.677,0.713,0.766,6.36,12.71,1.79,11.69,0.99,0.089,0.029,0.42,0.37,0.649,0.661,0.751,0.778,0.04,0.05,1.75,6.40,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\26_B11.d" ,"6" ,1.116,1.167,1.275,28.21,82.47,11.64,51.90,6.43,0.159,0.045,-0.10,0.11,1.111,1.113,1.304,1.307,-0.10,0.08,1.64,28.17,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\26_B11.d" ,"7" ,3.083,3.208,3.369,26.65,160.30,22.63,49.01,12.50,0.286,0.094,-0.79,-0.52,3.079,3.082,3.369,3.371,-0.81,-0.52,1.21,25.96,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\26_B11.d" ,"8" ,3.395,3.498,3.632,26.78,143.77,20.29,49.26,11.21,0.237,0.085,-0.35,-0.73,3.375,3.379,3.623,3.634,-0.35,-0.81,1.06,26.23,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\26_B11.d" ,"9" ,3.632,3.696,3.752,3.19,11.77,1.66,5.86,0.92,0.120,0.060,-0.73,-0.79,3.623,3.634,3.751,3.754,-0.81,-1.05,0.88,2.25,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\26_B11.d" ,"10" ,3.757,3.813,3.886,6.29,21.95,3.10,11.57,1.71,0.128,0.055,-0.79,-1.32,3.756,3.758,3.891,3.895,-1.06,-1.32,1.06,5.12,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\26_B11.d" ,"11" ,4.430,4.474,4.547,3.14,8.03,1.13,5.77,0.63,0.117,0.040,-2.08,-2.14,4.415,4.425,4.551,4.556,-2.08,-2.14,1.24,1.03,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\26_B11.d" ,"12" ,6.641,6.871,8.000,28.29,708.40,100.00,52.03,55.24,1.358,0.408,-1.97,-0.22,6.638,6.641,7.999,8.000,-1.97,-0.22,4.03,26.61,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\27_B12.d"," DAD1 - B:Sig=260,4  Ref=360,60 27_B12.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\27_B12.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\27_B12.d" ,"1" ,0.364,0.378,0.392,16.09,17.22,2.43,40.98,1.51,0.028,0.029,-1.16,-24.75,0.356,0.357,0.394,0.395,-1.16,-24.75,0.43,2.79,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\27_B12.d" ,"2" ,0.408,0.426,0.485,9.74,22.66,3.20,24.80,1.99,0.077,0.035,-0.04,1.35,0.394,0.395,0.469,0.490,-0.04,0.00,3.82,9.70,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\27_B12.d" ,"3" ,0.485,0.511,0.566,8.47,19.35,2.74,21.57,1.70,0.081,0.032,1.35,0.34,0.469,0.490,0.562,0.570,0.00,0.05,1.14,8.49,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\27_B12.d" ,"4" ,0.574,0.592,0.642,39.27,40.95,5.79,100.00,3.59,0.069,0.015,1.21,0.43,0.562,0.570,0.654,0.656,0.05,0.10,1.84,39.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\27_B12.d" ,"5" ,0.684,0.715,0.766,6.45,12.08,1.71,16.43,1.06,0.082,0.028,0.27,0.28,0.654,0.656,0.754,0.779,0.12,0.17,1.64,6.59,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\27_B12.d" ,"6" ,1.120,1.171,1.300,20.46,60.46,8.55,52.10,5.30,0.179,0.045,-0.19,-0.11,1.119,1.121,1.299,1.302,-0.22,-0.11,1.63,20.27,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\27_B12.d" ,"7" ,3.105,3.219,3.361,19.10,114.34,16.17,48.65,10.03,0.256,0.094,-0.75,-0.56,3.083,3.089,3.389,3.393,-0.75,-0.56,1.19,18.44,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\27_B12.d" ,"8" ,3.403,3.506,3.624,20.08,103.90,14.69,51.14,9.11,0.221,0.082,-0.64,-0.91,3.389,3.393,3.624,3.627,-0.64,-0.91,1.05,19.32,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\27_B12.d" ,"9" ,3.632,3.697,3.755,3.27,11.33,1.60,8.34,0.99,0.123,0.057,-0.92,-0.84,3.624,3.627,3.754,3.757,-0.92,-0.84,1.00,2.40,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\27_B12.d" ,"10" ,3.760,3.815,3.893,6.59,22.16,3.13,16.77,1.94,0.133,0.054,-0.82,-1.45,3.754,3.757,3.921,3.925,-0.82,-1.45,1.05,5.51,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\27_B12.d" ,"11" ,4.427,4.474,4.534,3.34,8.45,1.20,8.52,0.74,0.107,0.040,-2.13,-2.15,4.426,4.429,4.544,4.547,-2.13,-2.15,1.18,1.20,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\27_B12.d" ,"12" ,6.642,6.870,8.000,28.27,707.27,100.00,72.00,62.03,1.357,0.408,-1.99,-0.25,6.640,6.643,7.999,8.000,-1.99,-0.25,4.04,26.57,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\28_C1.d"," DAD1 - B:Sig=260,4  Ref=360,60 28_C1.d"
