"F:\LCMS\01-19-22\WT\2-L.d"," DAD1 - B:Sig=260,4  Ref=360,60 2-L.d"
"F:\LCMS\01-19-22\WT\2-L.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"F:\LCMS\01-19-22\WT\3-L.d" ,"10" ,4.434,4.478,4.541,4.90,11.79,3.87,13.42,1.43,0.108,0.037,-2.52,-2.49,4.431,4.433,4.540,4.543,-2.52,-2.55,1.31,2.37,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\3-L.d" ,"11" ,7.083,7.286,7.505,20.47,304.76,100.00,56.09,36.90,0.422,0.309,-1.37,16.69,7.028,7.031,7.505,7.509,-1.37,16.69,1.81,27.78,,,  ,,,,,,,,,,,,

"F:\LCMS\01-19-22\WT\5-S.d"," DAD1 - B:Sig=260,4  Ref=360,60 5-S.d"
"F:\LCMS\01-19-22\WT\5-S.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"F:\LCMS\01-19-22\WT\5-S.d" ,"1" ,0.349,0.364,0.391,5.72,12.02,3.94,5.27,1.15,0.042,0.036,-0.44,-9.54,0.339,0.342,0.393,0.393,-0.44,-9.54,0.83,2.04,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\5-S.d" ,"2" ,0.402,0.413,0.506,4.28,7.45,2.44,3.94,0.71,0.103,0.024,-0.15,-0.02,0.393,0.393,0.524,0.528,-0.15,-0.02,5.93,4.14,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\5-S.d" ,"3" ,0.556,0.574,0.609,108.66,121.68,39.90,100.00,11.63,0.053,0.016,0.61,5.77,0.524,0.528,0.605,0.613,0.38,0.26,2.18,109.00,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\5-S.d" ,"4" ,0.609,0.621,0.644,9.87,11.61,3.81,9.09,1.11,0.035,0.026,5.77,0.48,0.605,0.613,0.640,0.653,0.26,0.17,1.09,10.10,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\5-S.d" ,"5" ,1.139,1.193,1.331,38.39,110.19,36.14,35.33,10.53,0.192,0.043,-0.49,-0.19,1.111,1.114,1.364,1.367,-0.53,-0.40,1.40,37.90,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\5-S.d" ,"6" ,1.387,1.458,1.527,1.30,5.09,1.67,1.20,0.49,0.140,0.062,-0.37,-0.47,1.379,1.385,1.531,1.538,-0.37,-0.47,0.85,0.88,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\5-S.d" ,"7" ,3.108,3.227,3.369,47.85,275.51,90.35,44.04,26.33,0.260,0.090,-0.96,0.78,3.094,3.096,3.384,3.431,-1.02,0.70,1.22,47.61,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\5-S.d" ,"8" ,3.424,3.516,3.685,39.38,194.67,63.84,36.24,18.61,0.261,0.077,0.41,-1.27,3.384,3.431,3.685,3.687,0.35,-1.27,1.16,39.16,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\5-S.d" ,"9" ,4.259,4.299,4.344,1.44,3.15,1.03,1.33,0.30,0.086,0.034,-2.37,-2.37,4.257,4.259,4.351,4.354,-2.37,-2.37,1.11,-0.92,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\5-S.d" ,"10" ,7.083,7.282,7.505,20.66,304.93,100.00,19.02,29.14,0.422,0.310,-1.42,16.60,7.028,7.033,7.505,7.509,-1.42,16.60,1.90,27.73,,,  ,,,,,,,,,,,,

"F:\LCMS\01-19-22\WT\6-S.d"," DAD1 - B:Sig=260,4  Ref=360,60 6-S.d"
"F:\LCMS\01-19-22\WT\6-S.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"F:\LCMS\01-19-22\WT\6-S.d" ,"1" ,0.346,0.361,0.393,3.14,7.87,2.57,6.65,1.24,0.047,0.037,-0.74,-4.85,0.342,0.344,0.394,0.394,-0.74,-4.85,1.37,1.09,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\6-S.d" ,"2" ,0.396,0.411,0.437,5.26,7.49,2.44,11.14,1.18,0.040,0.033,-4.48,-0.49,0.394,0.394,0.438,0.439,-4.48,-0.49,2.39,2.26,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\6-S.d" ,"3" ,0.562,0.579,0.616,47.24,53.49,17.45,100.00,8.45,0.054,0.016,-0.08,1.74,0.561,0.563,0.610,0.621,-0.26,-0.25,2.10,46.99,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\6-S.d" ,"4" ,0.616,0.629,0.651,3.97,5.10,1.66,8.41,0.81,0.035,0.031,1.74,-0.24,0.610,0.621,0.654,0.656,-0.25,-0.24,1.03,3.73,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\6-S.d" ,"5" ,1.123,1.170,1.260,19.53,46.91,15.31,41.34,7.42,0.137,0.037,-0.60,-0.25,1.108,1.113,1.255,1.264,-0.60,-0.25,1.42,19.05,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\6-S.d" ,"6" ,3.060,3.174,3.312,21.84,121.70,39.70,46.23,19.24,0.252,0.087,-1.12,-0.45,3.029,3.031,3.311,3.314,-1.12,-0.45,1.21,21.02,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\6-S.d" ,"7" ,3.383,3.477,3.611,15.42,83.60,27.28,32.65,13.21,0.229,0.085,-0.34,-1.36,3.373,3.375,3.672,3.675,-0.34,-1.36,1.06,14.66,,,  ,,,,,,,,,,,,
"F:\LCMS\01-19-22\WT\6-S.d" ,"8" ,7.077,7.280,7.505,20.83,306.51,100.00,44.10,48.45,0.428,0.310,-1.91,16.62,7.028,7.032,7.505,7.509,-1.91,16.62,1.94,27.70,,,  ,,,,,,,,,,,,

