"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +/- TIC Scan 02_A1.d    ***NO DATA POINTS***"
"No integration results available"
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 295.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"9" ,2.391,2.424,2.487,2.71,6.48,10.51,16.27,2.84,0.096,0.036,46.67,45.72,2.391,2.399,2.490,2.498,45.71,45.72,1.18,48.42,,,  ,171.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"10" ,2.500,2.531,2.597,0.52,0.95,1.54,3.10,0.42,0.097,0.027,45.73,45.74,2.490,2.498,2.630,2.663,45.73,45.74,1.23,46.25,,,  ,171.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"11" ,2.663,2.695,2.751,1.33,2.47,4.01,7.98,1.08,0.087,0.029,45.75,45.76,2.630,2.663,2.777,2.826,45.75,45.76,1.17,47.08,,,  ,171.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"12" ,2.957,2.990,3.048,4.44,8.38,13.58,26.68,3.67,0.091,0.031,45.80,45.88,2.932,2.949,3.113,3.138,45.80,45.81,1.05,50.24,,,  ,171.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"13" ,3.318,3.350,3.416,4.96,13.17,21.35,29.79,5.77,0.098,0.031,45.85,45.87,3.285,3.309,3.391,3.416,45.85,45.87,1.26,50.81,,,  ,171.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@4.0 (319.0 -> 187.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,2.361,2.554,2.898,1402.65,19684.61,100.00,100.00,100.00,0.537,0.234,47.17,53.35,2.258,2.357,2.898,2.923,47.17,47.17,1.49,1449.82,,,  ,187.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@4.0 (318.0 -> 186.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,2.230,2.258,2.299,5.64,10.47,13.92,49.75,4.15,0.069,0.031,46.55,46.55,2.209,2.225,2.308,2.365,46.55,46.55,1.29,52.18,,,  ,186.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"2" ,2.370,2.398,2.415,2.25,2.90,3.86,19.91,1.15,0.044,0.023,46.55,46.60,2.308,2.365,2.406,2.415,46.55,46.55,0.34,48.80,,,  ,186.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"3" ,2.415,2.481,2.535,3.68,12.40,16.49,32.49,4.92,0.120,0.042,46.60,46.55,2.406,2.415,2.587,2.686,46.55,46.55,0.75,50.23,,,  ,186.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"4" ,2.878,2.923,2.972,10.66,27.42,36.47,94.14,10.88,0.094,0.034,46.79,49.13,2.825,2.874,3.088,3.145,46.79,46.72,2.40,57.42,,,  ,186.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"5" ,3.187,3.219,3.243,3.37,5.25,6.98,29.79,2.08,0.056,0.030,46.56,46.62,3.088,3.145,3.227,3.243,46.56,46.52,0.62,49.91,,,  ,186.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"6" ,3.243,3.390,3.431,11.33,75.19,100.00,100.00,29.82,0.188,0.160,46.62,52.18,3.227,3.243,3.423,3.431,46.52,46.38,0.28,57.73,,,  ,186.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"7" ,3.431,3.448,3.497,9.04,19.09,25.39,79.80,7.57,0.065,0.045,52.18,46.79,3.423,3.431,3.481,3.505,46.38,46.33,1.77,55.40,,,  ,186.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"8" ,3.497,3.546,3.628,10.43,34.71,46.16,92.10,13.77,0.131,0.055,46.79,46.42,3.481,3.505,3.611,3.628,46.33,46.23,1.46,56.72,,,  ,186.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"9" ,3.628,3.660,3.756,8.52,29.98,39.87,75.22,11.89,0.129,0.064,46.42,46.13,3.611,3.628,3.742,3.863,46.23,46.13,2.44,54.72,,,  ,186.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"10" ,3.865,3.896,3.928,2.44,4.09,5.44,21.51,1.62,0.064,0.029,46.05,46.09,3.742,3.863,3.904,3.928,46.05,46.00,0.91,48.46,,,  ,186.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"11" ,3.928,3.961,4.018,7.30,15.02,19.98,64.47,5.96,0.090,0.031,46.09,46.11,3.904,3.928,4.002,4.034,46.00,45.94,1.13,53.28,,,  ,186.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"12" ,4.034,4.099,4.172,4.72,15.61,20.76,41.65,6.19,0.138,0.048,45.92,45.92,4.002,4.034,4.156,4.213,45.92,45.82,0.89,50.59,,,  ,186.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@16.0 (318.0 -> 169.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,2.588,2.621,2.674,10.68,25.40,46.28,51.55,10.92,0.086,0.045,52.39,51.90,2.448,2.555,2.719,2.735,52.39,51.90,1.36,62.88,,,  ,169.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"2" ,2.749,2.768,2.803,6.15,10.85,19.77,29.69,4.66,0.054,0.034,51.58,51.51,2.719,2.735,2.801,2.858,51.58,51.51,1.96,57.71,,,  ,169.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"3" ,2.825,2.874,2.895,5.18,8.52,15.52,24.99,3.66,0.070,0.025,51.03,49.58,2.801,2.858,2.891,2.956,51.03,49.58,0.31,55.19,,,  ,169.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"4" ,2.940,2.973,2.997,4.83,7.31,13.32,23.34,3.14,0.058,0.055,48.40,47.26,2.891,2.956,2.989,3.080,48.40,47.26,0.15,52.58,,,  ,169.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"5" ,3.441,3.497,3.505,13.99,23.35,42.55,67.54,10.04,0.065,0.028,51.64,57.74,3.358,3.407,3.505,3.514,51.64,51.64,0.36,65.63,,,  ,169.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"6" ,3.505,3.538,3.602,20.71,54.64,99.55,100.00,23.48,0.097,0.038,57.74,51.64,3.505,3.514,3.628,3.742,51.64,51.64,1.43,72.35,,,  ,169.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"7" ,3.753,3.774,3.791,9.84,13.05,23.78,47.53,5.61,0.038,0.025,51.64,51.64,3.628,3.742,3.815,3.847,51.64,51.64,0.78,61.48,,,  ,169.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"8" ,3.861,3.888,3.921,17.69,34.69,63.19,85.42,14.91,0.059,0.033,51.64,52.68,3.815,3.847,3.912,3.921,51.64,51.64,1.27,69.33,,,  ,169.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"9" ,3.921,3.986,4.018,18.03,54.89,100.00,87.05,23.59,0.097,0.051,52.68,51.64,3.912,3.921,4.043,4.108,51.64,51.64,0.46,69.67,,,  ,169.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@9.0 (284.0 -> 152.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,3.220,3.384,3.784,9512136.80,69117436.94,100.00,100.00,100.00,0.564,0.112,2779.73,13549.48,3.122,3.130,4.150,4.158,51.20,51.20,1.18,9512188.00,,,  ,152.0,,,,,,,,S,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@8.0 (269.0 -> 137.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,3.065,3.229,3.490,8943.35,61495.76,2.05,1.76,2.01,0.425,0.108,57.03,77.49,3.024,3.057,3.491,3.499,50.38,77.49,1.17,9004.17,,,  ,137.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"2" ,3.523,3.663,3.965,508324.75,3001671.16,100.00,100.00,97.99,0.441,0.089,329.71,1273.74,3.491,3.499,3.981,3.989,93.75,93.75,1.16,508418.50,,,  ,137.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@4.0 (272.1 -> 140.1) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,2.688,2.753,2.884,21.93,124.90,36.87,44.11,16.12,0.196,0.087,46.89,47.79,2.598,2.639,2.925,2.933,46.89,46.74,2.52,68.77,,,  ,140.1,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"2" ,2.884,2.950,3.026,5.16,23.24,6.86,10.38,3.00,0.141,0.066,47.79,46.64,2.925,2.933,3.032,3.122,46.74,46.64,2.64,51.85,,,  ,140.1,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"3" ,3.126,3.196,3.237,8.87,25.57,7.55,17.84,3.30,0.110,0.037,46.56,46.87,3.032,3.122,3.229,3.245,46.56,46.48,0.50,55.38,,,  ,140.1,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"4" ,3.237,3.368,3.482,49.72,338.79,100.00,100.00,43.73,0.245,0.104,46.87,54.65,3.229,3.245,3.474,3.482,46.48,46.29,1.12,96.10,,,  ,140.1,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"5" ,3.482,3.498,3.574,10.88,23.78,7.02,21.89,3.07,0.092,0.044,54.65,46.22,3.474,3.482,3.564,3.630,46.29,46.22,1.87,57.16,,,  ,140.1,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"6" ,3.630,3.663,3.711,4.93,9.77,2.88,9.92,1.26,0.081,0.030,46.18,46.83,3.564,3.630,3.679,3.711,46.18,46.12,1.60,51.09,,,  ,140.1,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"7" ,3.711,3.744,3.801,4.94,11.56,3.41,9.93,1.49,0.090,0.036,46.83,46.16,3.679,3.711,3.793,3.956,46.12,46.05,0.64,51.03,,,  ,140.1,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"8" ,3.957,4.013,4.062,23.26,51.05,15.07,46.78,6.59,0.105,0.032,45.93,47.22,3.793,3.956,4.054,4.062,45.93,45.85,1.20,69.15,,,  ,140.1,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"9" ,4.062,4.095,4.135,14.12,31.96,9.43,28.40,4.13,0.073,0.037,47.22,47.94,4.054,4.062,4.127,4.144,45.85,45.80,1.51,59.95,,,  ,140.1,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"10" ,4.135,4.209,4.265,18.29,61.17,18.06,36.78,7.90,0.130,0.050,47.94,48.90,4.127,4.144,4.249,4.265,45.80,45.70,0.70,64.03,,,  ,140.1,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"11" ,4.265,4.331,4.372,7.95,36.36,10.73,15.98,4.69,0.106,0.092,48.90,48.05,4.249,4.265,4.363,4.372,45.70,45.62,0.50,53.60,,,  ,140.1,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"12" ,4.372,4.404,4.429,5.35,12.36,3.65,10.76,1.59,0.057,0.039,48.05,46.91,4.363,4.372,4.412,4.453,45.62,45.58,1.20,50.94,,,  ,140.1,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"13" ,4.429,4.485,4.550,9.45,24.20,7.14,19.01,3.12,0.122,0.034,46.91,45.62,4.412,4.453,4.542,4.566,45.58,45.48,0.58,54.99,,,  ,140.1,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@12.0 (268.0 -> 136.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,3.540,3.663,3.965,9869417.85,56410059.43,100.00,100.00,100.00,0.425,0.087,11478.77,24110.45,3.466,3.483,4.534,4.550,241.43,1324.71,1.30,9869973.00,,,  ,136.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V (261.0 -> 129.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,3.982,4.087,4.331,39976.12,195066.95,100.00,100.00,100.00,0.350,0.074,81.29,185.60,3.892,3.916,4.453,4.461,81.29,86.89,1.29,40059.11,,,  ,129.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@10.0 (257.0 -> 141.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,3.689,3.803,4.056,120495.54,603783.04,100.00,100.00,100.00,0.367,0.076,59.36,377.85,3.615,3.681,4.129,4.145,55.78,55.78,1.30,120551.32,,,  ,141.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@4.0 (275.0 -> 143.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,2.851,2.908,2.932,5.18,10.74,6.67,19.31,2.92,0.081,0.033,48.92,49.38,2.761,2.818,2.917,2.966,47.81,49.38,0.73,54.10,,,  ,143.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"2" ,2.953,2.999,3.022,4.01,9.11,5.66,14.95,2.48,0.069,0.045,49.03,48.93,2.917,2.966,3.024,3.040,49.03,48.93,0.52,52.98,,,  ,143.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"3" ,3.034,3.065,3.093,6.12,10.64,6.60,22.80,2.89,0.059,0.032,48.92,48.84,3.024,3.040,3.106,3.179,48.92,48.84,0.84,55.00,,,  ,143.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"4" ,3.278,3.400,3.506,26.84,161.14,100.00,100.00,43.81,0.229,0.095,48.59,48.70,3.253,3.286,3.580,3.728,48.59,48.29,0.67,75.27,,,  ,143.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"5" ,3.735,3.842,3.899,20.86,91.53,56.80,77.74,24.88,0.164,0.084,47.99,50.34,3.580,3.728,3.883,3.915,47.99,47.77,0.81,68.71,,,  ,143.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"6" ,3.899,3.932,3.959,8.63,16.23,10.07,32.16,4.41,0.060,0.033,50.34,47.69,3.883,3.915,3.956,3.997,47.77,47.69,0.41,56.35,,,  ,143.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"7" ,4.001,4.029,4.066,11.43,20.03,12.43,42.58,5.44,0.066,0.030,47.63,47.54,3.956,3.997,4.062,4.127,47.63,47.54,1.07,59.02,,,  ,143.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"8" ,4.130,4.208,4.251,6.90,29.85,18.53,25.70,8.12,0.121,0.090,47.46,47.30,4.062,4.127,4.241,4.355,47.46,47.30,0.46,54.25,,,  ,143.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"9" ,4.350,4.387,4.447,5.37,18.53,11.50,19.99,5.04,0.097,0.063,47.17,47.04,4.241,4.355,4.436,4.607,47.17,47.04,1.61,52.48,,,  ,143.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@1.0 (259.0 -> 127.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,3.369,3.492,3.860,37865.05,276457.83,100.00,100.00,100.00,0.491,0.115,70.10,160.19,3.197,3.263,3.852,3.860,53.43,58.83,1.97,37919.83,,,  ,127.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@8.0 (410.0 -> 295.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,3.984,4.082,4.252,9727.18,41328.72,100.00,100.00,100.00,0.268,0.064,47.59,72.66,3.968,3.976,4.252,4.260,45.73,45.74,1.36,9772.91,,,  ,295.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@22.0 (410.0 -> 163.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,3.992,4.074,4.318,24981.67,103692.54,100.00,100.00,100.00,0.325,0.062,56.74,86.75,3.927,3.968,4.318,4.326,45.86,45.90,1.71,25027.54,,,  ,163.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V (261.0 -> 129.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,3.973,4.087,4.283,38348.63,188615.56,100.00,100.00,100.00,0.309,0.075,63.45,188.08,3.876,3.941,4.283,4.299,62.46,68.23,1.27,38413.21,,,  ,129.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@4.0 (333.1 -> 201.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,3.096,3.136,3.152,42.19,87.98,8.20,25.39,5.41,0.056,0.047,48.44,77.58,3.087,3.095,3.160,3.160,48.44,48.30,0.71,90.53,,,  ,201.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"2" ,3.152,3.185,3.209,47.40,126.39,11.77,28.52,7.78,0.057,0.057,77.58,73.53,3.160,3.160,3.209,3.218,48.30,48.16,1.33,95.62,,,  ,201.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"3" ,3.209,3.242,3.324,32.36,123.95,11.55,19.47,7.63,0.115,0.060,73.53,49.82,3.209,3.218,3.316,3.332,48.16,47.87,2.24,80.43,,,  ,201.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"4" ,3.863,3.895,3.936,5.77,12.02,1.12,3.47,0.74,0.073,0.032,46.74,46.30,3.855,3.863,3.928,3.936,45.85,45.90,0.86,51.64,,,  ,201.0,,,,,,,,,,,
