"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +/- TIC Scan 02_A1.d    ***NO DATA POINTS***"
"No integration results available"
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 295.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"17" ,6.428,6.536,6.610,115.15,668.89,100.00,100.00,43.85,0.182,0.088,69.15,84.56,6.387,6.395,6.610,6.618,45.69,45.69,0.56,160.84,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"18" ,6.610,6.643,6.834,44.30,281.65,42.11,38.47,18.46,0.224,0.108,84.56,46.13,6.610,6.618,6.826,6.834,45.69,45.69,4.33,89.99,,,  ,295.0,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 163.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,0.378,0.411,0.476,3.28,6.26,2.79,8.72,0.79,0.098,0.030,45.74,45.73,0.370,0.378,0.476,0.492,45.74,45.69,1.09,49.00,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"2" ,0.607,0.664,0.892,4.33,18.03,8.04,11.53,2.29,0.285,0.058,45.63,45.68,0.541,0.607,0.892,0.973,45.63,45.64,2.35,49.97,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"3" ,1.087,1.291,1.396,0.36,2.81,1.25,0.96,0.36,0.309,0.116,45.69,45.74,1.055,1.112,1.388,1.453,45.65,45.66,0.80,46.01,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"4" ,3.233,3.387,3.567,0.44,4.30,1.92,1.18,0.55,0.334,0.137,45.76,45.84,3.141,3.166,3.542,3.575,45.76,45.79,1.70,46.22,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"5" ,3.571,3.665,3.883,0.86,5.82,2.59,2.27,0.74,0.313,0.090,45.85,45.78,3.542,3.575,3.877,3.910,45.85,45.78,2.01,46.69,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"6" ,5.259,5.299,5.364,4.97,10.17,4.53,13.21,1.29,0.105,0.031,45.79,45.82,5.103,5.136,5.364,5.404,45.79,45.80,1.12,50.76,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"7" ,5.404,5.437,5.573,4.56,13.28,5.92,12.12,1.68,0.169,0.039,45.80,45.79,5.364,5.404,5.575,5.600,45.79,45.79,1.88,50.34,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"8" ,5.657,5.689,5.722,2.88,5.15,2.29,7.67,0.65,0.065,0.030,45.80,46.10,5.575,5.600,5.714,5.722,45.80,45.80,1.06,48.68,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"9" ,5.722,5.779,5.811,15.65,46.60,20.77,41.62,5.91,0.090,0.049,46.10,50.93,5.714,5.722,5.803,5.811,45.80,45.79,0.60,61.44,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"10" ,5.811,5.828,5.902,7.63,19.44,8.66,20.28,2.47,0.090,0.047,50.93,46.04,5.803,5.811,5.893,5.902,45.79,45.79,2.16,53.42,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"11" ,5.902,5.935,5.959,1.93,3.85,1.72,5.14,0.49,0.058,0.033,46.04,46.23,5.893,5.902,5.951,5.959,45.79,45.79,0.60,47.72,,,  ,163.0,,,,,,,,,,,
