Columns,77_F9.d,106_H11.d,02_A1.d,03_A2.d,04_A3.d,05_A4.d,06_A5.d,07_A6.d,08_A7.d,09_A8.d,10_A9.d,12_A10.d,13_A11.d,14_A12.d,15_B1.d,16_B2.d,17_B3.d,18_B4.d,19_B5.d,20_B6.d,22_B7.d,23_B8.d,24_B9.d,25_B10.d,26_B11.d,27_B12.d,28_C1.d,29_C2.d,30_C3.d,32_C4.d,33_C5.d,34_C6.d,35_C7.d,36_C8.d,37_C9.d,38_C10.d,39_C11.d,40_C12.d,42_D1.d,43_D2.d,44_D3.d,45_D4.d,46_D5.d,47_D6.d,48_D7.d,49_D8.d,50_D9.d,52_D10.d,53_D11.d,54_D12.d,55_E1.d,56_E2.d,57_E3.d,58_E4.d,59_E5.d,60_E6.d,62_E7.d,63_E8.d,64_E9.d,65_E10.d,66_E11.d,67_E12.d,68_F1.d,68_F2.d,68_F3.d,72_F4.d,73_F5.d,74_F6.d,75_F7.d,76_F8.d,78_F10.d,79_F11.d,80_F12.d,82_G1.d,83_G2.d,84_G3.d,85_G4.d,86_G5.d,87_G6.d,88_G7.d,89_G8.d,90_G9.d,92_G10.d,93_G11.d,94_G12.d,95_H1.d,96_H2.d,97_H3.d,98_H4.d,99_H5.d,100_H6.d,102_H7.d,103_H8.d,104_H9.d,105_H10.d,107_H12.d
m5U,1.060192737,1.117137524,0.93747351,0.975323412,0.990888722,0.958292873,0.974006073,0.966685467,1.017387501,0.988184678,0.986235375,0.96224241,0.965988001,1.000752665,0.982583848,1.004890946,0.981447734,0.972873053,0.935615027,0.951339636,0.987946057,0.970548305,0.990958471,0.984292989,0.999591523,1.029268813,0.990340478,0.999680782,0.987874743,0.88627732,0.989328388,0.927002465,1.004345097,1.009136301,0.965884664,0.974098272,0.975064769,0.998045295,0.981912987,0.963094907,0.90063906,0.970114229,0.98896978,0.965493252,1.057017629,0.990792218,0.98717358,0.980439225,1.006156828,1.021875513,0.997917377,0.930515737,0.996980663,0.979915524,1.017187974,0.95282039,0.998533831,1.021201724,0.981099972,1.04223812,0.994116855,1.022856116,1.027915271,1.047164027,1.016566244,0.965605702,1.032460456,0.99933136,1.035663985,1.022719478,0.964425876,1.027835537,1.053195641,0.949841293,1.016079118,1.031923029,1.02811555,1.059225989,1.054738071,1.048344087,1.047609458,1.031027675,1.030337876,1.02575187,1.014212708,0.979532227,1.032022454,1.041593515,0.944261546,1.077449666,1.031725225,0.952986264,1.059930762,1.042850641,1.061369696,1.197285607
m62A,1.464762143,1.45612745,1.008795328,1.05750706,1.046727737,0.937374799,0.982935039,0.884933665,0.944911042,0.945327292,0.976398905,0.963886801,1.075000181,1.113187807,1.151578681,1.120665256,1.095569429,1.001095507,0.97316728,0.985440426,1.117770545,1.023821377,1.033772668,1.039120068,1.265860807,1.261530761,1.173978086,1.071343291,0.99845091,0.966844669,0.980318288,0.937223733,1.027536722,1.073569125,0.911226974,0.935055164,1.058423304,1.023979686,1.152040609,0.922536411,0.859915886,0.916436853,0.915342592,0.817234598,1.016150676,0.975612498,0.908266089,0.921784143,0.973342081,1.029915434,1.003281637,0.859479673,0.899539863,0.862199739,0.917747823,0.894181111,0.939687037,0.866958312,0.904573908,0.993611165,0.935374961,1.005416662,1.020639156,1.030791295,0.969387538,0.84436521,0.880034486,0.895857795,0.895907254,0.875016455,0.959306493,1.005093457,0.978160007,0.962877532,0.973858188,0.999683748,0.933824383,1.02691758,0.912058295,1.030165228,0.92396507,0.933600218,0.947267849,0.942417479,0.860650649,1.087541002,1.027433797,0.984224155,0.93750107,1.592954655,0.931531522,0.93955325,0.993897147,0.978464757,0.951919905,0.990553576
m6A,1.002924097,1.122399766,1.010420287,1.025840744,1.054523583,1.044274402,0.993189351,1.036934576,1.04041201,1.052485926,0.989728559,0.979275407,1.00561839,1.049037124,1.059674179,1.107857832,1.043398817,1.074364204,1.001250375,1.101378082,1.010174918,1.068558491,1.069304998,1.024220597,1.031254847,1.002883341,1.022010662,1.04459017,1.050599254,0.968299921,0.995216496,1.020987374,1.017648267,1.003460489,0.949153602,0.98459282,0.936443932,0.914260662,0.955440112,0.972978602,0.946409952,1.032557641,0.986029719,1.007193954,1.007094404,0.981761978,0.952371905,0.936825923,0.956858271,0.947200605,0.95119447,0.911406215,0.976885957,1.011494066,0.961086173,1.023779597,0.960064091,0.991018969,0.969620967,0.986712713,1.004355151,0.977975108,0.975592401,1.045468405,0.971863111,1.006033603,0.985190956,1.031514992,1.002692053,1.017733988,0.908945196,1.002619436,0.991342829,0.914090508,0.970733837,0.951776959,1.032156139,1.025499741,1.030550389,1.001863044,1.020863132,1.032160597,0.936449088,0.996787948,0.915620132,0.928344971,1.020609417,0.980927503,1.051422468,1.055226814,1.0059302,0.877814039,0.997672186,1.008629614,0.998355634,1.029516715
m6t6A,1.068049227,1.005549757,0.910988711,0.863236796,0.901191471,0.833277583,0.887941856,0.874253974,0.904429744,0.92615955,0.879387008,0.899913671,0.91699072,0.972155928,0.981973239,0.97748101,1.001157671,0.968870484,0.945862541,0.94854526,0.999402113,0.99487453,1.022760937,1.008641951,1.029175799,1.0091687,1.00658018,1.011175372,0.993092444,0.934321539,1.047591957,0.965410542,0.984022927,1.014333729,0.965796251,1.008030773,1.020238665,1.014075223,1.021666383,1.028042365,0.955386201,0.974940181,1.097853806,1.002343427,1.019350057,0.965211073,0.993698116,0.983824461,1.017300134,1.114636134,1.029154288,0.996931187,1.011504419,1.009717681,1.028360314,0.916851003,1.047732597,0.990875273,0.983242353,1.039685755,1.04646188,1.0179943,1.083264737,1.076286867,1.059291584,1.04298538,1.051365413,0.979942606,1.044794671,1.023294724,0.975471565,1.009902417,1.065615035,0.965493116,1.072434596,1.04565294,1.070241244,1.035724559,1.025041165,1.053373649,1.042347792,0.976638888,1.102230284,1.062970154,0.968413372,0.98837673,1.069936787,1.089433128,0.948262875,1.042428401,1.005572956,0.970509743,1.012567425,0.96440303,1.057342233,0.899255478
m7G,0.583309747,0.984327569,1.114600362,1.080565856,1.145335017,1.086059225,1.049316504,1.047840644,1.088625335,1.091074343,1.084995793,1.066504433,1.070593788,1.077025117,1.051903015,1.069891978,1.072321952,1.078604513,1.02862594,1.068472204,1.077519829,1.06874196,1.076806655,1.053571277,1.11236671,1.078907079,1.047873017,1.056670502,1.067154794,1.007581217,1.054905868,1.068167144,1.054561639,1.085224649,1.032096265,1.023054953,1.039135725,1.037203386,1.03904838,1.032070023,0.948612753,1.018295765,1.071263438,1.043108509,1.095104378,1.063012019,1.030912795,1.048141416,1.04343751,1.004768833,0.996468195,0.915505114,1.001984306,0.990206822,0.994735183,0.53698905,1.032723531,0.987285307,0.996904176,1.024356106,1.008728155,0.994917139,0.977444772,1.000631886,0.983149953,1.035455866,0.973512308,0.997110865,0.946978077,1.003152475,0.898658492,0.993956524,0.973750023,0.905323452,0.967268689,0.947062778,0.966025036,0.95877915,0.954501121,0.932503153,0.98495893,0.972059806,0.959628005,0.955106455,0.907293517,0.892120122,0.916466965,0.902739298,0.924872887,0.883217189,0.910710187,0.866089952,0.907128973,0.897581009,0.905391699,1.00552084
mcmo5U_201,0.96054552,1.008000746,1.008276802,1.040418126,1.074049572,1.104031658,0.985438773,1.077275854,0.995981406,1.005957507,1.021918246,1.027474372,0.990585069,1.004603259,1.019092718,1.061036205,0.974972125,1.001067344,1.006046435,1.016223824,0.996070939,1.023557385,0.970233029,0.983822988,0.996627504,0.994619451,0.967068519,1.033147331,0.99214608,0.93058408,0.96452657,1.073706809,0.993805255,0.992898544,0.975070855,1.005545592,0.99244499,0.985436445,0.959272667,1.000687569,0.929078895,0.986966292,0.992170409,1.045887488,1.018867798,0.996939925,0.97014356,0.962565525,0.966434838,0.972018954,0.975696513,0.919663927,0.92209066,0.989566643,0.926774345,1.002963604,0.94048398,0.939547978,0.984723797,0.959673053,0.994119138,0.948037656,0.980276142,1.083575567,1.010477949,1.081064711,0.999253978,1.069129469,0.984277861,1.023061879,0.895194056,1.069171378,1.079122742,0.977092409,0.994746412,1.004406261,1.024060518,1.000315106,0.994158125,0.996154295,1.037768989,1.013193634,1.005774343,0.978969858,0.967575635,0.977950922,1.077626352,1.015740498,1.091017986,1.001335784,1.028725433,0.926423399,1.005350366,1.077250432,0.965553535,0.878557898
mnm5s2U_172,0.833570233,0.871276265,1.210721651,1.098691806,1.08554763,1.046102743,1.139872873,1.029613446,1.038584023,0.990872042,0.959535363,1.037216701,0.985399571,1.135296145,1.053832891,1.236007697,1.090196394,1.12865734,1.06737361,1.026088774,1.148603975,1.109566785,0.993223395,1.069275362,0.936561302,1.110875586,1.177453944,1.019553625,1.030636821,0.969420336,1.004215481,0.896819825,0.998954581,1.003940817,0.960657772,1.02178308,1.01117243,0.986591234,1.192195622,1.070669698,1.006790279,0.982554933,1.089158756,0.914923922,1.087394301,0.982896277,0.936015088,1.033075832,0.952212379,1.04126907,1.032828872,1.013532516,1.013845381,0.875772316,1.002894383,0.871239964,1.105614494,0.983474609,0.863594788,1.053416485,0.98840904,1.062459373,1.086386874,1.081724225,0.975800002,1.037950859,1.000188305,0.928744173,0.988840126,0.871247609,0.880435969,0.970895233,0.96407912,0.957115655,1.100505864,0.995616035,0.959307348,1.089459982,1.019179859,0.97107262,1.007559092,0.882777123,0.922009713,0.88227822,0.938535164,0.83725223,0.992753008,1.017467816,0.782240604,1.011295493,0.87594177,0.822202105,0.828158183,0.799613625,0.97280617,0.983228569
mnm5s2U_273,0.756022474,0.543836565,1.174071784,1.209762628,1.078219185,1.110573264,1.087328889,1.035175999,0.91473191,0.879375014,0.841975723,1.272746896,1.093094466,0.996231085,1.326108145,1.268673128,0.963463478,0.888479041,1.021551759,1.082816095,1.146933917,1.171252291,0.895218413,0.949256071,0.966429651,1.002712415,1.206835444,1.115825559,1.021273528,0.901126612,0.804946731,0.858024548,1.005272958,0.947399176,0.890110878,1.113187801,1.063722933,1.190326586,1.066850347,1.04609409,1.148548803,1.141573139,1.23495534,0.806822424,1.488360547,0.564795005,1.063359972,1.045502097,1.085282016,0.888292962,0.9938275,0.998789549,1.050403867,0.884129347,1.226240562,1.019645282,1.356373872,0.911985584,0.893101877,0.961550922,0.752812367,1.118918536,1.169035244,1.001027613,1.209352257,1.021353395,0.99342013,0.797588088,0.948079507,0.993779707,0.916991231,0.970894019,1.152068961,1.081574842,1.024385602,0.788563978,1.028192098,0.863630968,0.894085298,1.037592945,0.86356112,0.802559806,1.140581005,0.90185678,0.82737778,1.067032051,1.035745734,0.919609187,0.855430398,0.845213609,0.674240332,0.929330416,0.902334319,0.854901063,0.963072907,1.038694076
Q_163,0.927778117,0.922282438,1.046526828,1.009416304,1.010421151,0.986786351,1.047693491,0.978729531,1.020717388,1.004849405,0.976110526,0.986991286,1.013885892,1.104960294,1.030737931,1.098476968,1.058573889,1.034576314,1.018243876,1.008049879,1.088250851,0.989871437,0.997786149,1.073746449,1.05216518,1.063955699,1.057578918,1.029415242,1.014913823,0.914578947,1.041034815,0.954645206,0.995080394,0.979485987,0.985124773,1.015585944,1.017701586,0.999493908,1.004834334,1.005676051,0.939924899,0.990812117,1.074058614,0.935714365,1.04590325,0.949712007,0.975900131,1.00308391,0.996869116,1.03062325,0.996535291,0.950970536,1.03988014,0.961791006,1.007065041,0.881093753,0.977739877,0.961268079,0.93399054,1.026829322,1.001013896,1.05264729,1.059901969,1.033494562,0.990231977,1.014665976,1.035188947,0.94257258,0.984937562,0.987651987,0.937153174,1.005125942,1.020440286,0.947176948,1.033002626,1.064279956,1.007457235,1.039554354,0.98334522,1.012083467,1.009458542,0.95757287,1.029543167,0.978599037,0.940367438,0.96263276,0.970763128,1.048932748,0.907974809,0.960931775,0.91190899,0.920845187,0.977436088,0.966006817,1.019907819,1.000212923
Q_295,0.960401383,0.919786956,1.020727276,0.998649885,1.014545576,0.980526369,1.024309037,0.968867198,1.024190282,1.010413155,0.989366503,1.004929686,1.009499163,1.095474859,1.037355352,1.09070245,1.039682399,1.06219863,1.000037112,1.014837849,1.134564778,0.993247089,1.048289962,1.088792331,1.02826034,1.041331982,1.076447997,1.013658961,1.010972764,0.913706878,1.030248789,0.942821731,0.981905264,0.97969134,1.016491339,1.016253044,1.0618168,1.032514473,0.982313948,0.987847244,0.942607822,0.981812249,1.054103789,0.967635249,1.046327453,0.959642303,0.977840432,1.022444679,0.979375741,1.043619761,0.997897554,0.966801504,1.043932347,0.963766924,0.985708026,0.909610033,0.988312466,0.98487396,0.962903693,1.01312675,0.985646173,1.045230919,1.031438392,1.0474813,1.032155353,1.002575735,1.011550006,0.970431319,1.003324158,0.984076939,0.940487157,0.969190037,1.031185557,0.939307403,1.034332026,0.998359968,0.991514652,1.046388999,0.968423943,0.995118509,0.999673003,0.978031965,1.008469939,0.989510654,0.923011645,0.93123163,1.020044885,0.984092504,0.920649213,0.973485602,0.920468569,0.958527846,0.971508849,0.94954289,1.003298433,0.985489324
s2C,0.972501969,0.995647041,1.021246148,1.01665568,1.058049881,1.039758022,0.995837527,1.026430746,1.036889674,1.063083855,1.010467464,1.036338056,1.019040107,1.064673737,0.979355854,1.052984632,1.010045492,1.007323655,0.983703975,1.037385171,0.979160539,1.032735108,1.029920526,1.015166863,1.002152813,1.019853559,1.010977787,1.020404382,1.022075518,0.972434677,0.989185343,1.021049444,1.017501732,0.992007241,0.98635371,0.98085375,1.000185148,1.036180516,0.986840337,1.014266541,0.936503705,0.97552554,0.96999508,0.999135535,0.999845034,1.004405152,0.993145242,0.955118678,0.985935491,0.953128984,0.968387434,0.943712346,0.989628236,1.00260885,0.936109389,0.937076454,1.011063085,0.990366529,1.04496309,0.997922626,1.015116813,0.996282228,0.997438024,0.983734975,0.985126745,1.011846146,0.995975279,0.984675375,1.003786944,1.001824443,0.927812718,1.030860139,1.016786256,0.921357674,0.973075435,0.982350795,0.996990061,0.994203695,0.967789793,0.97584658,1.01436816,1.0153765,1.00985291,1.027794979,0.983409884,1.007435514,1.005070575,1.004620338,1.02474509,0.930068222,1.052543898,1.00325242,1.000531568,0.977072068,1.044187734,0.99363759
s4U,0.840196733,0.994698794,1.023729233,1.037674906,1.019843849,1.032923474,1.006285181,1.085751492,1.061523389,1.106740207,1.049022882,1.074889962,1.079182941,1.119767756,0.989345559,1.059511446,0.993728762,1.000702802,1.000581956,1.026891989,0.977071856,1.031430278,1.000466661,1.009523204,1.032782951,1.0615281,0.988595809,1.030664308,1.016284033,0.937601742,1.000078271,0.983797466,0.987572968,0.936644516,0.953805322,0.988085316,1.027492347,1.089868445,0.958976619,0.997509369,0.924520513,0.932716443,0.965437,0.994799863,0.961365875,0.932402993,0.978686818,0.965321918,1.026937213,1.036467838,0.963369755,0.911318979,0.972449626,1.00767405,0.932665339,0.955740196,0.994077956,0.939842915,0.997310285,1.026766109,0.998035414,1.059763401,1.000211497,0.962071285,0.981873552,0.993979718,0.974206857,0.969474338,0.969128963,1.004813193,0.933395634,1.04026285,1.040557361,0.959359257,0.988956366,1.01128723,0.976669506,0.984228954,0.979148215,0.979627582,1.004373041,0.992081723,1.046871063,1.027657122,1.024355937,1.061413545,1.014444922,1.018390388,1.049024162,0.947869676,1.06648746,1.046440818,1.104727775,0.842430399,0.920098626,1.05163753
t6A,0.943333919,0.955550566,0.990745211,0.93387965,0.98802599,0.915238102,0.98709088,0.977045013,0.990049505,0.98478473,0.922810029,0.991693533,0.945970636,1.032740075,1.033891237,1.080336352,1.020786037,0.996273768,0.984532755,1.007725885,1.125470249,1.010194382,1.016201622,1.029943675,0.978075533,0.998136417,1.050726137,1.054213953,0.998736733,0.882947523,1.053650135,0.921030119,1.03130096,1.008934308,0.96240707,0.998404315,0.962278958,1.032031545,1.037135831,1.025783354,0.909978285,1.051681791,1.153591327,0.961491066,1.107312295,0.955855783,0.939738814,0.975384065,1.004437688,1.04268918,0.990292735,0.966297465,0.989782466,0.934393385,1.044268537,0.894521307,1.010683043,1.024386716,0.96099436,1.06688802,0.971915641,1.021130835,1.0567444,1.082000805,1.045969311,0.981718531,1.03645488,0.93182253,1.002714675,1.046566363,0.958097173,1.008992238,1.055148986,1.003440203,1.021368207,1.025527698,0.985583512,1.038411919,1.046803085,1.001900777,1.054417969,0.974357515,1.068547333,0.989093681,0.969317808,0.874920917,1.016434238,1.049466699,0.89719181,0.983703148,0.95429963,0.953073094,1.016779984,0.936875845,1.042796012,1.039831887
Um,0.972402607,0.980706582,0.981219636,0.926335796,0.927395074,0.857832934,0.865013342,0.893657561,0.97871782,0.935844007,0.866763257,0.900179438,0.892337275,0.981958323,0.974654836,0.996323923,0.985217604,0.949204124,0.940572116,0.983790557,1.045754401,1.007227229,0.959040307,0.970087185,0.948282354,0.970550285,1.05437571,1.019732476,1.035977464,0.866921104,0.980455616,0.932614497,0.962086777,0.997982339,0.899307456,1.020622103,0.988304502,0.927222412,1.06648841,1.019569349,0.987176535,0.984953659,0.995459117,0.953259284,1.094518827,0.96806368,0.961464905,0.988940408,1.025077062,0.984714383,1.068688416,0.976308671,1.035127287,0.971149965,1.053042236,1.051820725,1.067429268,1.005024738,0.850893462,1.069057173,1.022733246,0.996817256,1.095164267,1.055353361,1.055844055,1.040976669,1.108001406,1.007172121,1.040834529,1.053456053,1.011939775,1.05539561,1.002001362,1.008158949,1.088660831,1.063033837,1.107441886,1.115540891,1.068225909,1.086389634,1.067837004,1.034608922,1.073968237,1.012282374,0.982282864,1.00640408,1.052948513,1.111719384,0.958772378,1.13839377,1.007760877,0.884236564,0.987658242,0.958891992,1.044362675,1.089259381
Y_191,0.862856626,0.956576567,0.812256507,0.921674558,0.798359375,0.793767734,0.86282652,0.88278501,0.999103267,0.930330334,0.955977919,1.023515235,0.885193331,0.986113071,0.900122226,1.03990737,0.941842223,0.88024529,0.968215072,0.903962957,1.035532833,0.947479244,1.011124958,1.065465901,0.950644422,1.173929503,0.947326294,1.044631805,0.925767767,0.883301261,1.061876178,0.851420177,1.025709763,1.017477207,1.087752873,1.067998718,1.028428975,1.095917687,1.082852684,1.047962893,0.852086108,0.951048722,0.864763799,0.863964399,1.29895097,0.955050788,0.910239159,1.099596456,1.022479166,1.061959653,0.980990929,0.949348319,1.04553998,0.925237155,1.031231142,0.830280738,1.131693462,1.049693903,0.993527527,1.110527143,1.026795278,1.176467981,1.104245718,1.130026786,1.100566227,0.998257957,1.095219094,0.955261627,0.977838068,1.07558353,0.955307467,1.040440074,1.12258482,1.005395593,1.098071395,1.069288209,0.956249419,1.094535758,1.066269259,1.029762063,1.03412726,1.025898275,1.093305026,0.978634397,1.056163415,0.963689116,1.002845908,1.05897727,0.791795821,1.090859247,0.986624104,1.030681909,1.049775845,1.003600307,1.079154548,
