Columns,02_A1.d,03_A2.d,04_A3.d,05_A4.d,06_A5.d,07_A6.d,08_A7.d,09_A8.d,10_A9.d,12_A10.d,13_A11.d,14_A12.d,15_B1.d,16_B2.d,17_B3.d,18_B4.d,19_B5.d,20_B6.d,22_B7.d,23_B8.d,24_B9.d,25_B10.d,26_B11.d,27_B12.d,28_C1.d,29_C2.d,30_C3.d,32_C4.d,33_C5.d,34_C6.d,35_C7.d,36_C8.d,37_C9.d,38_C10.d,39_C11.d,40_C12.d,42_D1.d,43_D2.d,44_D3.d,45_D4.d,46_D5.d,47_D6.d,48_D7.d,49_D8.d,50_D9.d,52_D10.d,53_D11.d,54_D12.d,55_E1.d,56_E2.d,57_E3.d,58_E4.d,59_E5.d,60_E6.d,62_E7.d,64_E9.d,65_E10.d,66_E11.d,67_E12.d,68_F1.d,68_F2.d,68_F3.d,72_F4.d,73_F5.d,74_F6.d,75_F7.d,76_F8.d,77_F9.d,78_F10.d,79_F11.d,80_F12.d,82_G1.d,83_G2.d,84_G3.d,85_G4.d,86_G5.d,87_G6.d,88_G7.d,89_G8.d,90_G9.d,92_G10.d,93_G11.d,94_G12.d,95_H1.d,96_H2.d,97_H3.d,98_H4.d,99_H5.d,100_H6.d,102_H7.d,103_H8.d,104_H9.d,105_H10.d,106_H11.d,107_H12.d
C,1.0336214746784373,0.9951117958599515,1.0006106901741787,0.976839757662716,0.9717489102526625,1.0099671427318373,1.032763919274943,1.013822017814524,0.9805362020673233,0.9040445623245649,0.9833719412473971,0.9177042719519731,0.9198661361154571,0.9257325332389732,0.9782692168133273,1.0666459835682782,1.033889943588784,0.9761742934011577,1.003043392227353,1.002632626258677,1.0699832631257569,1.0053763966409974,0.9974085250015124,0.9466350929493643,0.9945150895787978,0.9870292354020415,1.0161459830798214,1.016264709726807,1.0139450689140797,0.9970067730512766,1.0275461397100059,1.0470688899966403,1.0100021938646389,0.9998400235958607,0.9439994020366942,1.0322590370799551,0.9995373862415112,1.0323259777426048,1.0049591505969866,0.9948386127643469,1.0278917396783054,1.0304910594684422,1.0197448269472182,1.0459172163299375,1.039832467679888,0.9578826993593418,1.02314818330453,1.0660445823980662,0.8951732346072004,1.0686055858313883,1.0285638904806043,1.0476917131370995,1.0047190337205616,0.9113541724544401,1.0459763594604525,0.9783205410211434,1.050264967060832,0.9220740530412714,1.0482988172779397,0.997643447750968,1.026600694232346,1.0368246715641305,0.9159372059960905,1.0442360087054452,0.9106592067758663,1.0752786931239302,1.04198467946891,1.0906682003415178,1.036317215323057,1.0283556131993912,1.037066746834269,0.9003261423640686,1.055253410572794,0.9260049070374266,0.9337950837673202,0.9793600635018771,1.0280231244742888,1.051312383779194,0.9299089443940175,1.0486129275094676,1.0303974213834626,0.9424372401208875,1.0617281995851822,1.022185074971897,1.0372991985527116,1.061908807104208,0.9152530088662348,1.0362986996815429,0.9165856447498125,0.9857288769372808,0.9125095598082962,0.9302573377330969,1.054921302028357,1.0008758139843368,1.0747310191277053
U,0.9841127636516818,0.9814331457627717,0.9709165336367237,0.9593398504392797,1.0061324468792239,0.9859848535530518,0.9610892476581785,1.000850206912624,0.9975136953737934,0.9890800405512528,0.9641745642985441,1.0041204135463848,1.0046040070765838,1.0073112403254745,1.0307231206103928,1.008140216106023,0.9836141986401511,1.0083036652700832,1.018186463156259,0.9979317940780413,0.984050807436697,0.9937202852781186,1.0099909063605677,0.919252433255469,1.0106451514820967,1.0316206274406228,1.019114565647592,0.9775242302936047,1.0085617376940073,1.0223932678548964,1.027409189346723,1.0152462518816368,0.9802530554278674,0.9932921614738567,0.9742617859388474,0.9662860884483866,0.9878061350069828,0.996913885083605,1.0092336512251205,1.0098963290294165,1.0233531365229562,1.0119095457411174,1.016449603676253,1.0454436447660131,1.0082420287804654,0.9460008562649765,1.0094480653453666,1.0090673633733587,1.0087456082352233,0.9997363137767339,1.0149895686487418,1.0020199065937638,1.0276912332909731,1.0210747671833533,1.0370614734097903,0.9522057997166645,1.014696937952865,1.0075408129327699,1.0308494753304045,1.0445216881800095,1.0177259724324477,1.0406960858176826,1.0117662497420932,0.9779161066255674,0.9964179670068806,1.036593473776225,1.004031835439451,0.9906985771761132,1.026210755808899,1.014640793073732,0.9832261132327339,0.9919758292136222,1.018751936520579,0.9918800539590107,1.0150419565271334,0.9462852194445469,0.984119401673825,0.9903852523870502,0.973692702503571,1.0140529742335218,0.9907132808660521,0.9941563109912905,1.0457521080080507,1.0151498908588217,1.0228041293421006,0.9928897320461798,1.0020953643532926,1.025467802463876,1.0004992322371873,0.9510996301071538,0.9799559859567823,1.0065336778798664,1.012840997694252,1.0423617204462905,1.0106553740621205
G,1.0038392193712384,1.0149298667411983,1.0054238096702042,1.0172122288199736,1.0043187551969852,1.004210115501406,1.0091031476081063,0.9960103826426604,1.011012221913279,0.9988273332334292,1.0067832660706164,0.9973539475479782,0.9959625196627304,0.998982552373169,0.9913888642045946,1.0037647143106165,1.011065357767896,1.0026578207560943,1.014881751214987,1.0091418549669675,0.9976363283817093,1.0001362174875998,1.0092835914332363,1.022140070750061,1.0007442780186284,0.9907347916756397,0.9893207040619315,1.0040819294179981,0.993763838246002,0.9998638213297426,0.9887855812862406,0.9981322366222368,1.008722179282182,0.9994304084253129,1.009735396758823,1.0159012106863075,1.0009534189851514,1.0077920364768091,0.9971117723013679,1.0021864250112666,0.9981046310499796,1.0094583491774634,1.000184317480548,0.9779533089076254,0.9802570605888872,1.0081493353165958,1.0023215001833312,0.9877315452696732,0.996244392792879,1.0146986597180783,0.9893299118159276,1.003338189379469,0.9878171497066345,0.9884377247909052,0.9980864672793387,1.003794643348408,0.9999285197446133,0.9986038330348889,0.9898079721243443,0.9690262570161029,0.9949450016055038,0.9914018607104461,0.9957980737164607,1.0100769550719426,0.998532499833446,0.9859327698702968,1.004393491703849,0.9919169219056605,0.9894180336009221,0.9962134502434246,1.0053386230973984,0.999906612715555,0.994765735305071,1.0064807122731896,1.0213338446519542,1.006776908666044,1.0050628312350598,1.0072136169647092,1.0052225289730248,0.9956665390965683,1.004945412859909,1.0008790913594539,0.9673487243810296,0.989934355258419,0.9955381035067329,1.0022423975904908,1.0048799530741006,0.9986178580562802,0.9984203147363669,1.0073447377921194,0.9856706808373285,1.0004594775913709,0.9970009489081597,0.985509511905716,0.99995808157292
A,1.003302992667164,0.9888945594465891,1.0083456182734458,0.9978680467536479,0.9904123535999294,1.0017339553160136,1.0085192693401477,1.0052461462344744,0.98559681931875,1.0077324004634836,1.0101338834655076,1.0015083777443012,1.003234358237062,0.997406124525765,0.9953132851655333,0.9900936063816812,0.9932238559554302,0.9915892597965105,0.9685946060423322,0.988045442825624,1.0122264050671295,1.0032850480072228,0.9811590956187036,1.0130228679593654,0.9930338038158627,0.9957532026396397,1.0047105994275578,1.0066065802300102,1.0041917891026877,0.9877846700644539,1.000880529666699,0.9942270423983635,0.9984445219770419,1.004533779037808,1.0003129238513402,0.9958971600203884,1.0053916113801744,0.9905439363865984,0.9990216413616116,0.9913821315535439,0.9897737193244459,0.9798453371115117,0.9906193956555213,1.0064089560156553,1.0237249114030975,1.0182482091870808,0.9914369919588917,1.0125561681506117,1.000535119084885,0.9790821677289069,1.0069835019175306,0.9940967511872334,1.0021120337081826,1.0048896008746633,0.9822025077292834,1.0210499003333346,0.9919573052419776,0.9978216191811089,0.9975087618826574,1.0197128545670116,0.9974202455677013,0.9897675842638998,0.9995006609291436,0.9977982063417666,1.0040881903849492,0.9998787769629252,0.9914694234366163,1.0167383884482886,1.0006383704791069,0.9973123151698688,1.0016456535036844,1.0045808718283553,0.9971085484470749,0.9952129133273013,0.9610911137955459,1.0200573745269306,1.0015458123240228,0.9949910494037886,1.0070954951418165,0.9984218408863643,0.9980597123744106,1.0019788218294672,1.0214349429863943,1.0060284504886476,0.9937559541449381,1.000727076318072,0.9918455018800836,0.9878662771106572,1.0019870963621462,1.016575470075781,1.0316431948304954,0.9957205410723279,0.9971812445200898,0.9972885319887203,0.9941548001291887
m1G,0.9865424919664352,0.9813088309130502,1.0169839856757674,1.0217721182805664,0.960235599685875,1.0030620164161206,0.9891533900724387,1.008341526770649,0.9711222745543427,1.0270775932777114,0.8434121449563043,1.1651137143181813,1.0223709167641766,1.0375540166113386,1.9787042609458125,1.586812204395628,0.9930321202056429,1.0841097307119103,0.6660867418529749,1.1452479729421101,0.9230397158286324,1.0091222409846317,0.6854418611925233,0.7390781462125218,0.9221262808318427,1.2969961091926427,0.8821806784895508,1.0248089822540798,0.9766245452958535,1.330087111782838,1.0981507493380818,0.7272251455633378,0.8777116049750745,0.9368346050952252,0.8744876571962308,0.8702363868972104,0.8099758660600743,1.1754037316132089,1.475529047928966,1.1611782432278348,0.9598055704719882,0.99084101678055,0.7015990532322065,1.003697158285588,0.8734499697349094,0.7220820323273013,0.9132051218214143,0.8625671835376245,0.927287630240138,1.7467795385326446,1.109104421487429,1.3098015378559298,0.9038874309985574,0.9572140312823412,1.098051520024312,0.8691584760848687,0.9200510071142555,0.7829087448249835,1.1810502850057805,1.1318961141316948,1.0428600395387402,0.970209132457327,1.070027242536643,1.16439521852035,0.9629327512917016,0.9900394397167506,0.9889370050477143,0.6590652576988848,1.1133574141859124,0.9974281220951078,0.8592791885675289,1.139014608001858,1.115154980194697,1.0841386609244603,1.776249959678754,0.7753925751751387,0.8506779131915907,0.9933195817426577,0.8375121779082134,0.9019059615002203,0.9318872802523159,1.0627452031437086,1.1954305897703916,1.4290650681423578,1.3096458172746372,1.2086468068139251,1.3765104247694735,0.7440686419816898,1.0686151989414336,1.2178571338315545,0.8556403585112755,0.8955328350586449,1.0528140539319037,0.4455508979451818,1.0903421554036867
m2G,1.0819767427772695,1.0989689991124756,0.8934599060112666,0.850549751884068,1.0432877758713386,0.9684568125916362,0.9542649292407627,0.8162961898754628,1.1091695810252167,1.0395483146061668,0.9950131964059412,0.8646836510145298,1.2320261086053172,0.9713150761558834,1.8844687177563761,1.4960974838221424,0.8886037497262358,1.1291539839410845,0.6541883712952913,1.4052558205326777,0.8881664523685474,0.81515031914728,0.7124505548363124,0.850371226025099,0.7626426965036021,1.3533750234962816,0.9050204937254633,1.051574239611239,0.0,1.3369979529694889,0.9321293574661679,0.6553329162162637,0.898433473318582,0.8833807067506408,0.9587351379001465,0.7071347600424421,0.9777636058494888,0.8674498000175112,1.4437591306276298,0.9971796167428412,0.8315788661577919,1.0078559858184826,0.7730507269510091,1.0479296354694323,0.9511428493356028,0.7801722794349696,0.9160588825494707,0.9968142824286058,1.047473168716495,1.5341585737060675,1.3279912115037866,0.0,1.0350252315185011,0.9409143272316172,0.9970164236039233,0.8800849574503327,0.7753009383362124,0.7755273954517685,1.0198134144243927,1.2640407836506933,0.9440200752449528,0.987427098673297,1.0816842548461019,1.0392846152738642,1.1440594590281512,1.0430217248055627,1.0455866631645343,0.7202296895680905,1.1809238425622515,0.8595667971426127,0.9375538731538046,1.1237476882657218,0.9812934099012101,0.8776362473542255,1.4832329182093127,0.8266568045661163,0.775991143621079,1.1199045171385253,0.9238956938431573,0.8800810173867495,1.0432655554163595,1.0856604260713196,1.2009631468838293,1.6014487718986197,1.4632013656863458,1.16365327769209,1.1766858529329578,1.6499141683321703,0.8212451930968652,1.3498641003702265,0.871997066474411,0.0,0.7755935446859272,0.7510904906855463,1.1267941925959872
I,0.9858292987888482,0.9975860073269044,1.0110509373517076,1.013257544581189,0.9529011906308921,1.0147436316062608,1.0080318966896862,1.038543508617843,0.9844405563256057,1.070634626513059,0.8454698050184776,1.1507232174614894,0.9946123696676598,1.0340816019812238,1.9575958540516178,1.6070986549934085,0.995172669998383,1.1332371433743769,0.6788551256981975,1.1409577209781911,0.9805944013443405,1.021350719319345,0.7003860062007777,0.7325629236766769,0.9091586080662158,1.284578667853952,0.9119000963695987,1.0331578518237294,1.009250294656028,1.2672474604205517,1.1117599167264245,0.7152622363653153,0.8665297493598311,0.9132056703451825,0.8924981919636295,0.8799393207513025,0.8088997325125851,1.1773953648408397,1.4174152516548044,1.078712712371632,0.9313947620330219,0.9804817334661355,0.745393807959649,0.9617242952820138,0.8490898788852885,0.7379829329831706,0.8907094495969763,0.8458553006683601,0.9290595826198352,1.7714565031111338,1.1180650577829638,1.3215161473819312,0.9287759301362729,0.9066688020384155,1.113845988931403,0.8758256926684201,0.9578995477124673,0.7609461965701118,1.1184771575229167,1.0757186490149204,1.0142083693406132,0.9443562744424675,1.0387900320813117,1.1390919465058844,0.9080128061190746,0.999233468252698,0.9786925299801101,0.640643497156508,1.098067650599191,0.9460887883825965,0.8524974066941357,1.1496052905227991,1.1035628355771498,1.0610389123749997,1.7114891439164441,0.7666820329338349,0.821143897171405,1.0170327154371657,0.8118374641420507,0.88889785977162,0.945381396307209,1.059921717665553,1.1622330165670043,2.3970093711952973,1.2779890508413212,1.1695387673129423,1.270486351247245,0.7526474944686152,1.0587136207403889,1.2032782903747634,0.8068414467833038,0.8253153894935477,1.0220141357739463,0.4257889775453016,1.0632862379048644
ho5U,1.081463078954531,1.0520524646211522,0.8400743102546254,0.9745204136053364,0.8485151315918914,0.9939184553112734,0.9305828837685391,0.9198156941970621,0.9557727310531592,0.9683543865009204,0.7671735917512612,1.3007600075635481,1.0791341392100298,0.9919199495379757,2.084400285633171,1.736289644692653,1.0057670776997025,1.0656161883035913,0.6879255940280858,1.0147434358738805,0.9167082188561184,1.1027773460751227,0.39275438961917714,0.904806930130788,1.0820450545421774,1.2637845930314628,0.8988166351996395,1.1202600127060118,0.8459050404751873,0.5502376359441672,1.170354456571031,0.8173616387509656,0.7418954156910581,1.0377397555468892,0.9651231290821144,0.8621235180455507,0.7259264414632793,1.2929036407221333,1.559508552703144,1.1917416411528428,0.7226298249575012,0.709414994679589,0.9967828155544423,1.0837643524607423,0.8266549920965263,0.7988899128130549,0.8272531382138129,1.0866139792661982,1.0013498020525742,2.135350538759937,1.2125296081836263,0.9810795186223393,1.0173506927000542,0.2789726994668244,1.4211586458870142,0.8696529675443371,0.9200226995812802,0.94373433884924,1.178412738190919,1.1698191944651468,0.6706971976488311,1.1613808446705014,1.430051018064842,1.1472274040969324,0.7372701407905474,1.064073567924068,1.0841933550316436,0.3158505872664406,1.3059045788826456,1.170112435558235,1.0203638359584035,1.1939832355673543,1.1591605689811997,1.149994732966756,1.5909470089939193,0.7799939436077366,1.0183981332505574,1.0691541281846855,0.9352198869901337,0.4473937644725862,1.018487647766953,1.1250492131210128,1.300732519695773,1.515271416435271,1.325073467371836,1.2283502102464192,0.5717081535853166,0.8465824665168111,1.0872299604626514,1.4255850889065687,0.9738700402143788,0.9420131098249868,1.20469430026482,0.3073809795373975,1.2137590788369936
s2C,1.0198622825888626,1.0152780353729218,1.0566161438690829,1.0383490717837731,0.9944880921677033,1.025039855183464,1.0354846107763653,1.061643297131263,1.0090982044839967,1.0812204944193424,0.8804274013162033,1.2335676782087248,0.9974617644878715,1.0720156737042537,2.052186789707494,1.596809763689631,1.0129141162988746,1.1513405836351718,0.6619055522948748,1.1918479422615766,0.9434146130557941,1.0390708915505371,0.6754871553666657,0.7601402986552427,0.9194768620112401,1.3353069321479982,0.9176438538484329,1.069173357385287,0.9651021655729366,1.3402854975851926,1.1369110786214047,0.7039242686935246,0.8900386419203887,0.9334816039227579,0.891152038141301,0.9067570534740494,0.8095167872467148,1.2013028991231336,1.4695103920159174,1.1088179691392939,0.9235721487497818,0.9987914228312738,0.691221241398085,0.9998699171461869,0.8700283766386491,0.7131836476825458,0.8790118587974283,0.8422696057201853,0.9151160744067958,1.8146225503312057,1.1045781553519074,1.293865148876895,0.8465244513403448,0.8608905951526349,1.10691535108296,0.9009178984355977,0.9067721389711644,0.7972312726955776,1.1431107816578205,1.0969244921196029,0.9764650072075262,0.9499543984692344,1.0408979220576162,1.1460296948292015,0.9243332859617759,0.9888518481260337,0.9741517355969747,0.6097529969672956,1.1127374928004017,0.9913508976072112,0.8512533922991249,1.086964755704857,1.0716761528499914,1.0340970491856019,1.688019616181327,0.7387288439466427,0.8088092720048812,0.9916800378478575,0.8288839175371939,0.9020450265994759,0.9596880430430367,1.0630042877007502,1.2264411745695452,1.4486179597050535,1.2786789093470934,1.202974252220458,1.3154716794635215,0.6930352504134324,1.1070127156849867,1.268699170420694,0.8294156622686817,0.8392131050686943,1.0725042328269496,0.4164166554104327,1.0579960323573616
15N-dA,0.971766228455896,0.8611541438733412,1.0025461271703278,0.7756111291543293,0.9394313340817237,0.7790352390563255,1.0756574454748717,0.8589071610030239,0.9991160143574324,0.97329787081351,0.8105556927385599,0.9423934973279714,1.104233799197696,0.9284799275573166,2.1420499927660592,1.380102973683542,0.9693735157493227,0.9320613122379408,0.8780109340206845,1.0150410817828803,0.8707087874928545,1.0017137987482265,0.8203001920715689,0.9060215922644543,0.8569979497200213,1.274371484045059,0.9135489142906846,0.9814198862322961,0.9757565872940316,1.249430177448702,1.2245121047197902,0.9083758429105709,0.9491289312701673,0.9712004908476498,0.8472026427089755,0.948104890545279,0.9403436573997116,1.0526486734218008,1.304233222738951,1.0721791230864453,1.0298737151031467,0.9807651437639309,1.1603416832759328,1.1255084613816657,0.8983563712482061,0.7982596172590714,0.9185287600670706,1.0652422953584835,1.0088949324132725,1.6293424716249887,1.1870676374573388,1.0261358629410995,1.1161309725563087,1.0369306352173675,1.2195326771240382,0.8199397534130466,1.0057204518406422,0.7733646792993731,1.1577406071138518,1.137171938793142,1.1051659443889599,1.1168624442242467,0.9667772410817449,1.0945468003121046,0.9965209170598037,1.0330575015224104,1.0079223809885651,1.102357046183579,1.0830289801749329,0.9019421407305686,0.9283212523190834,1.0461150631665628,1.0462461334546946,1.0563404434863692,1.7912278283820458,0.9270516694305726,0.9616393329469386,1.1662659817251826,0.9035532342329279,0.9149112899345166,0.9323101997168898,0.9570997796396676,1.1699042772795696,1.117810128235237,1.0884976596826736,1.0906245496616735,1.028720098782545,1.0235192515552713,0.9534297066788754,0.9218741210754505,0.7782172478982793,0.8406346428349553,0.8754492751671337,0.8090451589060029,1.3231499676409384
