"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,0.354,0.379,0.385,8.66,7.59,1.06,27.32,0.73,0.031,0.014,-1.73,-1.55,0.353,0.355,0.393,0.394,-1.73,-1.55,0.34,7.08,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"2" ,0.403,0.417,0.484,19.00,51.32,7.17,59.92,4.94,0.081,0.038,-1.44,4.47,0.393,0.394,0.453,0.490,-1.44,-0.96,5.54,17.64,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"3" ,0.484,0.508,0.560,12.31,30.11,4.21,38.82,2.90,0.076,0.038,4.47,-0.51,0.453,0.490,0.560,0.561,-0.96,-0.51,0.87,11.48,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"4" ,0.565,0.600,0.658,31.71,49.50,6.91,100.00,4.76,0.093,0.019,0.20,0.18,0.560,0.561,0.653,0.666,-0.51,-0.47,1.57,31.21,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"5" ,1.158,1.219,1.326,10.51,35.00,4.89,33.14,3.37,0.168,0.052,-0.21,-0.14,1.148,1.153,1.324,1.332,-0.21,-0.14,1.40,10.32,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"6" ,3.207,3.316,3.487,14.28,88.24,12.33,45.04,8.49,0.280,0.096,-0.78,-0.82,3.193,3.197,3.492,3.494,-0.78,-0.82,1.24,13.48,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"7" ,3.515,3.600,3.704,13.86,61.46,8.59,43.70,5.91,0.189,0.070,-0.84,-1.22,3.506,3.509,3.719,3.722,-0.84,-1.22,1.04,12.85,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"8" ,6.640,6.868,7.999,28.41,715.86,100.00,89.59,68.89,1.358,0.409,-2.15,-0.21,6.636,6.641,7.998,8.000,-2.15,-0.21,4.61,26.58,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\03_A2.d"," DAD1 - B:Sig=260,4  Ref=360,60 03_A2.d"
