Columns,02_A1.d,03_A2.d,04_A3.d,05_A4.d,06_A5.d,07_A6.d,08_A7.d,09_A8.d,10_A9.d,12_A10.d,13_A11.d,14_A12.d,15_B1.d,16_B2.d,17_B3.d,18_B4.d,19_B5.d,20_B6.d,22_B7.d,23_B8.d,24_B9.d,25_B10.d,26_B11.d,27_B12.d,28_C1.d,29_C2.d,30_C3.d,32_C4.d,33_C5.d,34_C6.d,35_C7.d,36_C8.d,37_C9.d,38_C10.d,39_C11.d,40_C12.d,42_D1.d,43_D2.d,44_D3.d,45_D4.d,46_D5.d,47_D6.d,48_D7.d,49_D8.d,50_D9.d,52_D10.d,53_D11.d,54_D12.d,55_E1.d,56_E2.d,57_E3.d,58_E4.d,59_E5.d,60_E6.d,62_E7.d,63_E8.d,64_E9.d,65_E10.d,66_E11.d,67_E12.d,68_F1.d,68_F2.d,68_F3.d,72_F4.d,73_F5.d,74_F6.d,75_F7.d,76_F8.d,77_F9.d,78_F10.d,79_F11.d,80_F12.d,82_G1.d,83_G2.d,84_G3.d,85_G4.d,86_G5.d,87_G6.d,88_G7.d,89_G8.d,90_G9.d,92_G10.d,93_G11.d,94_G12.d,95_H1.d,96_H2.d,97_H3.d,98_H4.d,99_H5.d,100_H6.d,102_H7.d,103_H8.d,104_H9.d,105_H10.d,106_H11.d,107_H12.d
mcm5Um_185,0,0,0,250.56,196.75,314.58,242.28,120.73,0,0,0,0,206.45,389.79,0,91.76,182.87,356.07,95.18,333.78,726.13,1003.23,0,649.75,0,180.18,534.56,675.55,0,0,1064.04,145.3,588.64,404.85,400.99,474.68,264.84,246.21,289.43,120.75,598.05,490.85,98.44,142.43,178.09,109.07,245.34,135.99,196.76,355.14,221.71,155.39,280.05,170.32,100.23,0,194.54,487.66,180.93,150.19,311.14,169.02,114.9,463.11,117.25,215.75,117.13,127.8,0,318.45,376.28,196.83,217.45,196.73,300.42,115.56,322.71,284.5,174.45,363.65,233.12,668.01,629.33,435.9,261.95,0,407.56,412.96,172.82,206.52,767.55,365.13,234.76,312.51,0,348.5
mcmo5U_201,45607.92,52292.93,49050.45,63070.16,47852.51,61803.09,42227.26,51551.96,46193.56,49077.61,47519.1,52197.64,44087.49,52707.86,43580.94,53369.41,49548.16,54177.44,35033.02,51172.27,44208.83,45073.16,35861.96,36560.43,46954.2,47615.38,44594.18,46683.69,43171.76,50783.93,40872.94,34254.85,40605.63,43071.97,44419.77,38650.81,37269.24,48811.53,50364.19,46780.29,40520.0,46859.12,27664.39,38610.1,41511.6,39015.08,40894.82,35127.42,41365.65,48080.39,39913.41,54717.33,34015.59,39042.96,37260.44,38180.92,44445.36,37797.12,43229.03,39978.31,42022.87,42670.06,39650.97,50262.75,45346.89,43701.04,40944.46,42703.46,23748.4,42185.72,47869.45,41054.48,47181.66,45634.76,44193.07,42925.72,35073.87,37249.51,38565.17,41003.91,41349.08,42112.03,42499.0,42367.5,52760.35,53148.46,48122.77,57234.76,31283.46,47033.81,51368.25,45023.41,45695.53,47049.34,22146.26,33771.25
mcmo5U_315,3062.7,2574.18,665.54,1820.35,1623.67,3240.75,1978.46,971.59,4341.81,4839.31,551.33,1189.03,867.84,975.13,1740.27,2459.24,4450.09,2272.75,1165.93,2063.06,1224.93,2457.33,2528.29,2496.32,1718.89,476.48,1701.64,0,2742.4,3098.6,1901.95,1877.25,5860.9,1465.37,1381.35,1835.62,1595.83,4193.72,2394.31,1728.38,3308.18,1549.82,1945.36,1576.42,2301.19,2022.97,3323.34,2398.92,866.52,1573.43,1951.77,2471.14,2287.65,3414.6,2423.4,2132.95,1306.44,1830.76,1982.33,1983.5,2405.37,780.88,3378.82,3015.42,3066.45,1980.71,1976.94,1407.06,0,4475.51,5306.37,1448.43,2207.46,2777.88,3254.51,3326.0,4710.04,2107.31,2355.26,1896.19,2358.04,4455.44,1601.65,1903.77,4522.9,5115.93,1241.78,1658.05,2094.88,2015.18,2032.44,1748.13,1048.99,1769.63,5663.13,1224.04
mnm5s2U_172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mnm5s2U_273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mo5U,180.4,95.97,133.23,117.4,239.06,147.23,122.77,74.22,69.55,64.32,282.85,256.14,198.53,142.68,137.24,198.98,226.68,153.05,79.98,61.86,172.15,169.08,26.39,200.78,108.66,209.47,34.14,88.48,127.49,189.87,23.69,117.72,80.12,201.63,101.01,108.74,189.48,100.64,331.75,203.33,19.71,146.5,87.2,87.59,60.19,149.75,255.03,62.06,31.47,162.27,169.38,162.43,138.93,47.57,64.66,74.64,85.72,122.4,117.92,96.55,97.41,62.45,98.56,125.52,50.25,41.32,121.51,253.83,0,213.97,86.78,109.37,31.44,122.09,125.15,21.05,188.67,71.78,44.14,78.69,56.01,130.27,57.52,76.78,131.15,209.33,214.17,192.37,77.85,28.31,79.62,216.56,156.65,168.59,11.83,78.2
ms2i6A,280791.41,290078.92,282583.29,300946.89,292051.94,321323.86,265527.62,329957.26,257158.77,301156.04,291974.4,391240.62,281779.68,300819.98,305726.56,289795.71,298423.2,345120.06,224577.46,327953.95,329531.67,338457.77,307076.93,261420.78,315114.18,275719.23,289670.71,266573.44,241902.71,271881.32,255379.0,223491.16,321512.88,297102.93,307681.43,228522.7,222714.67,265398.75,293619.41,266113.91,244117.75,254857.93,157306.85,226799.49,247278.07,244687.26,268848.46,218765.74,258043.21,274943.5,242470.31,329898.34,198816.59,147592.36,247426.5,263519.84,298944.77,257554.56,246245.61,262673.72,269490.52,221770.9,243085.1,254273.85,263676.69,213502.06,219876.91,267830.89,192729.64,289251.33,263628.01,252286.6,258462.15,273950.56,296194.91,230700.67,213740.39,211033.2,215654.99,218000.57,238136.46,303144.89,277570.1,258992.45,325191.29,263312.69,248451.97,280727.99,131020.04,228405.94,312617.52,228576.6,217726.07,297803.43,130029.98,203342.05
ms2io6A,697472.98,774519.11,726718.84,934485.82,752616.25,918584.35,681203.47,825692.04,721402.9,744933.87,770770.72,818418.05,674389.49,825346.88,709084.03,874900.66,750860.52,843163.28,568136.95,785593.42,725036.45,711659.41,535034.95,604561.68,758703.53,725456.56,701024.81,743687.61,724657.6,747564.39,642438.04,541334.97,596372.46,634023.27,682678.23,624773.4,589262.31,745485.55,776182.67,701185.05,618405.23,681226.81,372718.7,586033.97,650047.06,605274.27,639478.49,547661.17,628334.97,742981.01,659786.48,822356.11,533069.25,472704.39,611500.32,601097.18,695618.77,582065.36,673227.85,646932.52,643340.84,608189.86,586129.68,717110.24,686784.63,612486.83,625833.59,638416.43,376441.94,645705.86,694469.29,580552.23,681386.79,671826.75,653201.08,616860.61,517950.38,555944.66,545083.87,601375.78,638050.1,601810.29,653000.13,637340.81,795710.53,747302.2,704167.16,788715.17,441401.86,684870.37,787732.75,686410.97,658431.58,726135.97,344729.45,508747.41
preQ1_163,305.36,240.58,135.32,230.53,206.29,146.75,136.95,125.98,104.24,375.81,230.49,54.67,230.66,155.79,169.39,138.87,193.33,172.93,87.06,254.82,169.6,284.72,137.23,164.7,206.75,54.1,106.8,266.81,180.45,187.14,158.31,57.74,153.57,322.22,113.45,124.43,109.51,208.25,252.85,185.43,143.51,198.72,74.68,151.58,188.33,203.59,220.11,329.34,130.1,124.47,185.31,259.54,216.54,58.87,97.11,169.83,203.53,179.31,148.87,231.84,312.61,113.04,65.79,159.85,232.51,63.85,77.49,148.65,41.53,159.59,302.27,142.9,233.26,159.04,177.12,121.01,115.29,140.47,243.19,214.14,196.54,346.14,85.8,260.06,167.4,145.94,38.34,41.18,206.28,113.24,102.23,207.4,143.62,228.72,49.69,165.44
Q_163,170744.32,182995.66,166439.54,203329.76,183503.66,202526.27,156092.7,185738.5,159147.45,170043.93,175428.81,207080.1,160836.77,196821.05,170671.49,198942.26,180882.57,193841.4,138054.87,178499.37,163985.65,177434.55,136559.05,141063.06,185210.41,171124.03,164538.35,165487.87,168068.46,162861.34,147614.21,121885.16,147971.04,156907.99,164295.52,141398.74,140811.57,176936.5,183779.82,169389.82,158214.6,151212.56,102430.71,132665.89,150617.09,146647.57,152149.06,134340.47,152388.85,179325.19,162354.34,191820.92,133320.5,123712.93,139718.95,140898.82,152051.21,145871.04,157004.67,160109.51,163884.69,146793.78,140152.01,170158.27,169444.18,138967.0,147782.0,148696.42,82736.27,159292.11,162318.12,140027.3,164969.67,170930.76,168902.49,152318.97,131470.85,132894.35,141325.45,143862.79,140955.05,155483.96,153232.04,148518.62,187321.08,172691.58,179246.59,171805.54,108283.68,150382.6,184165.08,157886.4,147799.39,179255.92,73086.79,125828.53
